bootstrap_replicate,full_minus_a2c_points,full_score,a2c_pointer_score
573,1.061552868,76.01864649,74.95709362
574,1.19513411,76.76634244,75.57120833
575,2.866628416,77.53013581,74.66350739
576,2.00755633,77.41292271,75.40536638
577,1.299430258,77.12684919,75.82741893
578,2.292069886,77.14501028,74.8529404
579,1.463574176,77.7713474,76.30777322
580,1.817481319,76.61545117,74.79796985
581,2.329164796,77.54688954,75.21772474
582,1.063053344,76.24264814,75.17959479
583,1.73847665,75.90574002,74.16726337
584,1.035612912,76.27732733,75.24171442
585,0.9685883491,76.16741516,75.19882681
586,0.8193876114,76.270342,75.45095439
587,1.825608058,76.64393966,74.8183316
588,2.027472129,76.65006904,74.62259691
589,1.267979349,77.16576363,75.89778428
590,2.03713468,75.99837989,73.96124521
591,2.717580826,76.63300705,73.91542622
592,2.399595965,77.46873477,75.06913881
593,1.50053686,76.60112228,75.10058542
594,3.045292338,77.32268306,74.27739073
595,1.895480067,76.32416324,74.42868318
596,1.77305433,76.86901256,75.09595823
597,1.67128112,76.70274043,75.03145931
598,2.286522571,75.77533955,73.48881698
599,2.456184227,76.63743502,74.18125079
600,1.917273676,77.98333072,76.06605705
601,1.692019498,76.63929759,74.94727809
602,0.8140981515,77.63309096,76.81899281
603,2.851078101,77.01901005,74.16793195
604,0.7460187598,76.0145339,75.26851514
605,1.789852638,77.25883762,75.46898498
606,2.427046134,77.57925303,75.15220689
607,2.055715791,76.85393641,74.79822062
608,2.632885052,76.41579555,73.7829105
609,1.742534498,78.28569465,76.54316015
610,2.298004098,76.58196099,74.2839569
611,2.877935141,77.19578044,74.3178453
612,1.839986532,76.16630118,74.32631465
613,2.556914305,76.30184541,73.74493111
614,2.388860242,76.36875859,73.97989835
615,2.460172253,76.10253908,73.64236683
616,0.686417601,76.55373618,75.86731858
617,1.963591251,76.75913858,74.79554733
618,1.899344738,76.77417869,74.87483395
619,1.839825927,75.56207573,73.7222498
620,1.987115553,76.07375332,74.08663777
621,2.082535496,76.22230243,74.13976693
622,1.262954327,76.17143416,74.90847983
623,1.769923846,76.31997772,74.55005388
624,1.228426543,76.01489967,74.78647313
625,1.551492954,77.70732459,76.15583163
626,2.143596794,76.47502678,74.33142999
627,2.507621677,76.09436135,73.58673967
628,1.401577242,76.88012867,75.47855143
629,1.273895529,76.35531056,75.08141503
630,1.682197411,77.08144229,75.39924488
631,2.744135848,76.43234062,73.68820477
