model,episodes_seen,weighted_coverage,q25,q75,seed_count
a2c_pointer,2359.1409396,0.475136245249,0.465814025904,0.494999748536,5
a2c_pointer,2379.16778523,0.490575188758,0.477487940436,0.494279572148,5
a2c_pointer,2399.19463087,0.453876181345,0.444547407889,0.458658274551,5
a2c_pointer,2419.22147651,0.460950608221,0.459390729866,0.518718540268,5
a2c_pointer,2439.24832215,0.446503475551,0.434514107656,0.449970466374,5
a2c_pointer,2459.27516779,0.471011301962,0.464752527479,0.477153975055,5
a2c_pointer,2479.30201342,0.435487888003,0.429982434983,0.460550807466,5
a2c_pointer,2499.32885906,0.492509587728,0.483439768525,0.515520134228,5
a2c_pointer,2519.3557047,0.475449157222,0.421220980003,0.488537689614,5
a2c_pointer,2539.38255034,0.470548635247,0.465710430827,0.472868121661,5
a2c_pointer,2559.40939597,0.48832385172,0.475930028314,0.496552537752,5
a2c_pointer,2579.43624161,0.459831701137,0.455372284191,0.468720947901,5
a2c_pointer,2599.46308725,0.498910051384,0.472555316695,0.513756423029,5
a2c_pointer,2619.48993289,0.436644594919,0.433861318227,0.475236536519,5
a2c_pointer,2639.51677852,0.460589797737,0.427968918534,0.476482847491,5
a2c_pointer,2659.54362416,0.464920433096,0.459920957424,0.47438981229,5
a2c_pointer,2679.5704698,0.475861477666,0.446850308391,0.494609778947,5
a2c_pointer,2699.59731544,0.474251520554,0.461878014891,0.486426436661,5
a2c_pointer,2719.62416107,0.464219905664,0.437860074819,0.477486121336,5
a2c_pointer,2739.65100671,0.503181151341,0.483769881694,0.531254748386,5
a2c_pointer,2759.67785235,0.454407786605,0.429339302835,0.457755144843,5
a2c_pointer,2779.70469799,0.463702197794,0.449241756266,0.470770739346,5
a2c_pointer,2799.73154362,0.477915268456,0.462196544673,0.499168283347,5
a2c_pointer,2819.75838926,0.445084684461,0.408223028095,0.467054384673,5
a2c_pointer,2839.7852349,0.498201552013,0.447160759228,0.499148621015,5
a2c_pointer,2859.81208054,0.471998431294,0.465855223171,0.487713583756,5
a2c_pointer,2879.83892617,0.489835042396,0.479577257182,0.493388841747,5
a2c_pointer,2899.86577181,0.472160103817,0.446566956795,0.482891149329,5
a2c_pointer,2919.89261745,0.448072583165,0.41733494074,0.45667023888,5
a2c_pointer,2939.91946309,0.464535706795,0.458168388213,0.488579462039,5
a2c_pointer,2959.94630872,0.442548965895,0.431229401366,0.444550992587,5
a2c_pointer,2979.97315436,0.466803362232,0.457002759682,0.492080761625,5
a2c_pointer,3000,0.448979591837,0.438775510204,0.489795918367,5
traditional_ppo,16,0.21875,0.201171875,0.2421875,5
traditional_ppo,36.0268456376,0.175784032153,0.174317195418,0.177686703876,5
traditional_ppo,56.0536912752,0.193900557287,0.192111151298,0.197680807852,5
traditional_ppo,76.0805369128,0.194676751258,0.192762950923,0.225028838087,5
traditional_ppo,96.1073825503,0.188570326411,0.171160735687,0.189160196377,5
traditional_ppo,116.134228188,0.220602191695,0.214904047819,0.230146287752,5
traditional_ppo,136.161073826,0.208589790782,0.206291304273,0.210695452678,5
traditional_ppo,156.187919463,0.221991208396,0.206233387336,0.254273146444,5
traditional_ppo,176.214765101,0.195276117998,0.19094259348,0.217011582317,5
traditional_ppo,196.241610738,0.208586179333,0.1998728235,0.213398100431,5
traditional_ppo,216.268456376,0.22466442953,0.223322147651,0.230369127517,5
traditional_ppo,236.295302013,0.208411946994,0.207116212676,0.210780308348,5
traditional_ppo,256.322147651,0.240159658138,0.238155411074,0.243436713507,5
traditional_ppo,276.348993289,0.219714363829,0.210070725543,0.222206022719,5
traditional_ppo,296.375838926,0.27770322291,0.259060957778,0.288620833191,5
traditional_ppo,316.402684564,0.23700108504,0.221297034439,0.252003578277,5
traditional_ppo,336.429530201,0.229009691256,0.228093419887,0.237033461009,5
traditional_ppo,356.456375839,0.259830510696,0.254749108641,0.264186700398,5
traditional_ppo,376.483221477,0.215658439341,0.214769701924,0.227352497731,5
traditional_ppo,396.510067114,0.283179530201,0.275612153943,0.284650272651,5
traditional_ppo,416.536912752,0.238486701308,0.236666397369,0.23893839992,5
traditional_ppo,436.563758389,0.254164134194,0.249915197832,0.260664741987,5
traditional_ppo,456.590604027,0.257027317534,0.255602453859,0.261350408977,5
traditional_ppo,476.617449664,0.22394613912,0.216489032431,0.230043970058,5
traditional_ppo,496.644295302,0.252791526846,0.248904152685,0.27420511745,5
traditional_ppo,516.67114094,0.225396002046,0.212035848578,0.236407844388,5
traditional_ppo,536.697986577,0.274397677223,0.25412581271,0.277147126678,5
traditional_ppo,556.724832215,0.229918953739,0.222679951805,0.239746053623,5
traditional_ppo,576.751677852,0.270509150074,0.251832810253,0.271286012832,5
traditional_ppo,596.77852349,0.260771587368,0.242009067679,0.264057898747,5
traditional_ppo,616.805369128,0.234292271072,0.227769392677,0.253699996148,5
traditional_ppo,636.832214765,0.275336881292,0.25521248427,0.277849727349,5
traditional_ppo,656.859060403,0.224267170165,0.22221693732,0.235543450812,5
traditional_ppo,676.88590604,0.283988307466,0.283036650587,0.320887950923,5
traditional_ppo,696.912751678,0.240393332249,0.225741711324,0.25543659473,5
traditional_ppo,716.939597315,0.254721233607,0.247691481689,0.263313539027,5
traditional_ppo,736.966442953,0.261730547399,0.252592150797,0.273377857592,5
traditional_ppo,756.993288591,0.234496317927,0.220140407778,0.236525216473,5
traditional_ppo,777.020134228,0.294621696728,0.29060074979,0.295471764891,5
traditional_ppo,797.046979866,0.234896600209,0.231631797014,0.243129098326,5
traditional_ppo,817.073825503,0.274527756258,0.263282306683,0.29177570121,5
traditional_ppo,837.100671141,0.260411673058,0.251805991902,0.262554198483,5
traditional_ppo,857.127516779,0.250383883629,0.248265300772,0.261603919305,5
