model,training_seed,environment_interactions,weighted_coverage,series,q25,q75
full,44,8020.413408,0.4554413496,seed,,
full,44,8119.843575,0.4913626685,seed,,
full,44,8219.273743,0.4465691965,seed,,
full,44,8318.703911,0.4568512679,seed,,
full,44,8418.134078,0.4867888001,seed,,
full,44,8517.564246,0.5033723825,seed,,
full,44,8616.994413,0.4543707975,seed,,
full,44,8716.424581,0.446244936,seed,,
full,44,8815.854749,0.3909965489,seed,,
full,44,8915.284916,0.3864508661,seed,,
full,44,9014.715084,0.4582352354,seed,,
full,44,9114.145251,0.3440934614,seed,,
full,44,9213.575419,0.291070277,seed,,
full,44,9313.005587,0.3714864631,seed,,
full,44,9412.435754,0.3997630686,seed,,
full,44,9511.865922,0.3863658365,seed,,
full,44,9611.296089,0.4366384898,seed,,
full,44,9710.726257,0.4459246773,seed,,
full,44,9810.156425,0.4476472494,seed,,
full,44,9909.586592,0.4431620035,seed,,
full,44,10009.01676,0.520186046,seed,,
full,44,10108.44693,0.5611806202,seed,,
full,44,10207.87709,0.5122711049,seed,,
full,44,10307.30726,0.4994246743,seed,,
full,44,10406.73743,0.5008011808,seed,,
full,44,10506.1676,0.4886935765,seed,,
full,44,10605.59777,0.4669030391,seed,,
full,44,10705.02793,0.4406598572,seed,,
full,44,10804.4581,0.4484128619,seed,,
full,44,10903.88827,0.4595391809,seed,,
full,44,11003.31844,0.4278675956,seed,,
full,44,11102.7486,0.4125327339,seed,,
full,44,11202.17877,0.402223046,seed,,
full,44,11301.60894,0.3943994756,seed,,
full,44,11401.03911,0.4534371666,seed,,
full,44,11500.46927,0.5011162456,seed,,
full,44,11599.89944,0.5434278785,seed,,
full,44,11699.32961,0.4742496134,seed,,
full,44,11798.75978,0.4378724105,seed,,
full,44,11898.18994,0.4961610269,seed,,
full,44,11997.62011,0.5017825927,seed,,
full,44,12097.05028,0.487290287,seed,,
full,44,12196.48045,0.4512903338,seed,,
full,44,12295.91061,0.4667140699,seed,,
full,44,12395.34078,0.4919062244,seed,,
full,44,12494.77095,0.5013069668,seed,,
full,44,12594.20112,0.5161374341,seed,,
full,44,12693.63128,0.5322697344,seed,,
full,44,12793.06145,0.5420294106,seed,,
full,44,12892.49162,0.5434206817,seed,,
full,44,12991.92179,0.5357009482,seed,,
full,44,13091.35196,0.3751477737,seed,,
full,44,13190.78212,0.5200609186,seed,,
full,44,13290.21229,0.4540047226,seed,,
full,44,13389.64246,0.4410764972,seed,,
full,44,13489.07263,0.4399300716,seed,,
full,44,13588.50279,0.4403026635,seed,,
full,44,13687.93296,0.4590620754,seed,,
full,44,13787.36313,0.4713779292,seed,,
full,44,13886.7933,0.4787702633,seed,,
full,44,13986.22346,0.4704578803,seed,,
full,44,14085.65363,0.4430067412,seed,,
full,44,14185.0838,0.4149195195,seed,,
full,44,14284.51397,0.4617679392,seed,,
full,44,14383.94413,0.4720003494,seed,,
full,44,14483.3743,0.440251203,seed,,
full,44,14582.80447,0.4432599284,seed,,
full,44,14682.23464,0.4431601854,seed,,
full,44,14781.6648,0.447821069,seed,,
full,44,14881.09497,0.4727261922,seed,,
full,44,14980.52514,0.4790773723,seed,,
full,44,15079.95531,0.4857544495,seed,,
full,44,15179.38547,0.4928968335,seed,,
full,44,15278.81564,0.5089060219,seed,,
full,44,15378.24581,0.518277132,seed,,
full,44,15477.67598,0.43555702,seed,,
full,44,15577.10615,0.4318251981,seed,,
full,44,15676.53631,0.4437595348,seed,,
full,44,15775.96648,0.4187323068,seed,,
full,44,15875.39665,0.4294289493,seed,,
full,44,15974.82682,0.4239861121,seed,,
full,44,16074.25698,0.4096596704,seed,,
full,44,16173.68715,0.4744031735,seed,,
full,44,16273.11732,0.5006021299,seed,,
full,44,16372.54749,0.4987681904,seed,,
full,44,16471.97765,0.4494761165,seed,,
full,44,16571.40782,0.4634992522,seed,,
full,44,16670.83799,0.4899010463,seed,,
full,44,16770.26816,0.4652362865,seed,,
full,44,16869.69832,0.4663184062,seed,,
full,44,16969.12849,0.4646774081,seed,,
full,44,17068.55866,0.4513778093,seed,,
full,44,17167.98883,0.4558694995,seed,,
full,44,17267.41899,0.4667875469,seed,,
full,44,17366.84916,0.482604745,seed,,
full,44,17466.27933,0.4940451739,seed,,
full,44,17565.7095,0.4387312138,seed,,
full,44,17665.13966,0.451339467,seed,,
full,44,17764.56983,0.4694555652,seed,,
full,44,17864,0.496286526,seed,,
full,45,66,0.21484375,seed,,
full,45,165.4301676,0.2064165423,seed,,
full,45,264.8603352,0.2446578274,seed,,
full,45,364.2905028,0.3131512495,seed,,
full,45,463.7206704,0.3143489677,seed,,
full,45,563.150838,0.3253852331,seed,,
full,45,662.5810056,0.3434292074,seed,,
full,45,762.0111732,0.3487720305,seed,,
full,45,861.4413408,0.3219825989,seed,,
full,45,960.8715084,0.4073483422,seed,,
full,45,1060.301676,0.3853953501,seed,,
full,45,1159.731844,0.3500575999,seed,,
full,45,1259.162011,0.4046596973,seed,,
full,45,1358.592179,0.422045403,seed,,
full,45,1458.022346,0.3967802602,seed,,
full,45,1557.452514,0.4435418187,seed,,
full,45,1656.882682,0.4592735639,seed,,
full,45,1756.312849,0.4199232668,seed,,
full,45,1855.743017,0.3844941981,seed,,
full,45,1955.173184,0.38986539,seed,,
full,45,2054.603352,0.4608968683,seed,,
full,45,2154.03352,0.4143506279,seed,,
full,45,2253.463687,0.4352477421,seed,,
full,45,2352.893855,0.4587863589,seed,,
full,45,2452.324022,0.4517466284,seed,,
full,45,2551.75419,0.4649629864,seed,,
full,45,2651.184358,0.4478038232,seed,,
full,45,2750.614525,0.4157084155,seed,,
full,45,2850.044693,0.4439071576,seed,,
full,45,2949.47486,0.4508205959,seed,,
full,45,3048.905028,0.4467973404,seed,,
full,45,3148.335196,0.4362947119,seed,,
full,45,3247.765363,0.4629944383,seed,,
