record_type,model,model_label,seed,episodes_seen,environment_interactions,safe_weighted_coverage,curve_source,q25,median,q75
seed,full,PPO+Pointer,43,352,5258,1,training_batch,,,
seed,full,PPO+Pointer,43,368,5530,1,training_batch,,,
seed,full,PPO+Pointer,43,384,5802,1,training_batch,,,
seed,full,PPO+Pointer,43,400,6074,1,training_batch,,,
seed,full,PPO+Pointer,43,416,6346,1,training_batch,,,
seed,full,PPO+Pointer,43,432,6604,0.94921875,training_batch,,,
seed,full,PPO+Pointer,43,448,6876,1,training_batch,,,
seed,full,PPO+Pointer,43,464,7148,1,training_batch,,,
seed,full,PPO+Pointer,43,480,7420,1,training_batch,,,
seed,full,PPO+Pointer,43,496,7692,1,training_batch,,,
seed,full,PPO+Pointer,43,512,7964,1,training_batch,,,
seed,full,PPO+Pointer,43,528,8236,1,training_batch,,,
seed,full,PPO+Pointer,43,544,8508,1,training_batch,,,
seed,full,PPO+Pointer,43,560,8780,1,training_batch,,,
seed,full,PPO+Pointer,43,576,9052,1,training_batch,,,
seed,full,PPO+Pointer,43,592,9324,1,training_batch,,,
seed,full,PPO+Pointer,43,608,9596,1,training_batch,,,
seed,full,PPO+Pointer,43,624,9860,0.9765625,training_batch,,,
seed,full,PPO+Pointer,43,640,10132,1,training_batch,,,
seed,full,PPO+Pointer,43,656,10404,1,training_batch,,,
seed,full,PPO+Pointer,43,672,10676,1,training_batch,,,
seed,full,PPO+Pointer,43,688,10940,0.9765625,training_batch,,,
seed,full,PPO+Pointer,43,704,11212,1,training_batch,,,
seed,full,PPO+Pointer,43,720,11484,1,training_batch,,,
seed,full,PPO+Pointer,43,736,11756,1,training_batch,,,
seed,full,PPO+Pointer,43,752,12028,1,training_batch,,,
seed,full,PPO+Pointer,43,768,12300,1,training_batch,,,
seed,full,PPO+Pointer,43,784,12572,1,training_batch,,,
seed,full,PPO+Pointer,43,800,12844,1,training_batch,,,
seed,full,PPO+Pointer,43,816,13095,0.9296875,training_batch,,,
seed,full,PPO+Pointer,43,832,13367,1,training_batch,,,
seed,full,PPO+Pointer,43,848,13639,1,training_batch,,,
seed,full,PPO+Pointer,43,864,13911,1,training_batch,,,
seed,full,PPO+Pointer,43,880,14183,1,training_batch,,,
seed,full,PPO+Pointer,43,896,14455,1,training_batch,,,
seed,full,PPO+Pointer,43,912,14727,1,training_batch,,,
seed,full,PPO+Pointer,43,928,14999,1,training_batch,,,
