model,training_seed,environment_interactions,return_rate
full,45,22422,1
full,45,22589,1
full,45,22699,1
full,45,22858,1
full,45,23041,1
full,45,23160,1
full,45,23302,1
full,45,23471,1
full,45,23601,1
full,45,23748,1
full,45,23928,1
full,45,24053,1
full,45,24200,1
full,45,24350,1
full,45,24469,1
full,45,24608,1
full,45,24776,1
full,45,24914,1
full,45,25073,1
full,45,25240,1
full,45,25351,1
full,45,25488,1
full,45,25664,1
full,45,25795,1
full,45,25933,1
full,45,25977,1
full,46,78,1
full,46,169,1
full,46,271,1
full,46,375,1
full,46,472,1
full,46,583,1
full,46,680,1
full,46,791,1
full,46,914,1
full,46,1014,1
full,46,1132,1
full,46,1279,1
full,46,1388,1
full,46,1516,1
full,46,1658,1
full,46,1740,1
full,46,1870,1
full,46,2010,1
full,46,2109,1
full,46,2258,1
full,46,2399,1
full,46,2519,1
full,46,2641,1
full,46,2790,1
full,46,2891,1
full,46,3022,1
full,46,3180,1
full,46,3276,1
full,46,3403,1
full,46,3547,1
full,46,3660,1
full,46,3742,1
full,46,3915,1
full,46,4047,1
full,46,4186,1
full,46,4339,1
full,46,4456,1
full,46,4611,1
full,46,4784,1
full,46,4893,1
full,46,5057,1
full,46,5228,1
full,46,5346,1
full,46,5477,1
full,46,5626,1
full,46,5759,1
full,46,5901,1
full,46,6070,1
full,46,6180,1
full,46,6306,1
full,46,6452,1
full,46,6558,1
full,46,6687,1
full,46,6857,1
full,46,6976,1
full,46,7122,1
full,46,7272,1
full,46,7384,1
full,46,7515,1
full,46,7667,1
full,46,7770,1
full,46,7909,1
full,46,8039,1
full,46,8068,1
full,46,8227,1
full,46,8376,1
full,46,8491,1
full,46,8634,1
full,46,8817,1
full,46,8946,1
full,46,9066,1
full,46,9242,1
full,46,9383,1
full,46,9534,1
full,46,9700,1
full,46,9831,1
full,46,9977,1
full,46,10144,1
full,46,10281,1
full,46,10437,1
full,46,10608,1
full,46,10732,1
full,46,10883,1
full,46,11034,1
full,46,11155,1
full,46,11289,1
full,46,11485,1
full,46,11606,1
full,46,11759,1
full,46,11923,1
full,46,12039,1
full,46,12208,1
full,46,12382,1
full,46,12524,1
full,46,12669,1
full,46,12717,1
full,46,12841,1
full,46,12994,1
full,46,13163,1
full,46,13283,1
full,46,13432,1
full,46,13602,1
full,46,13736,1
full,46,13887,1
full,46,14037,1
full,46,14160,1
full,46,14290,1
full,46,14459,1
full,46,14580,1
full,46,14737,1
full,46,14913,1
full,46,15033,1
full,46,15167,1
full,46,15324,1
full,46,15450,1
full,46,15581,1
full,46,15719,1
full,46,15828,1
full,46,15990,1
full,46,16145,1
full,46,16273,1
full,46,16418,1
full,46,16564,1
full,46,16686,1
full,46,16829,1
full,46,16987,1
full,46,17098,1
full,46,17145,1
full,46,17312,1
full,46,17459,1
full,46,17602,1
full,46,17780,1
full,46,17914,1
full,46,18063,1
full,46,18245,1
full,46,18373,1
full,46,18512,1
full,46,18675,1
full,46,18795,1
full,46,18947,1
full,46,19103,1
full,46,19232,1
full,46,19406,1
full,46,19592,1
full,46,19719,1
full,46,19868,1
full,46,20036,1
full,46,20180,1
full,46,20336,1
full,46,20509,1
full,46,20636,1
full,46,20778,1
full,46,20942,1
full,46,21073,1
full,46,21218,1
full,46,21363,1
full,46,21478,1
full,46,21603,1
full,46,21767,1
full,46,21800,1
full,46,21929,1
full,46,22090,1
full,46,22197,1
full,46,22364,1
full,46,22521,1
full,46,22655,1
full,46,22809,1
full,46,22987,1
full,46,23115,1
full,46,23270,1
full,46,23448,1
full,46,23577,1
full,46,23713,1
full,46,23872,1
full,46,24005,1
full,46,24147,1
full,46,24302,1
full,46,24435,1
full,46,24573,1
full,46,24729,1
full,46,24858,1
full,46,25016,1
full,46,25186,1
full,46,25288,1
full,46,25431,1
full,46,25591,1
full,46,25720,1
full,46,25874,1
full,46,26017,1
full,46,26144,1
full,46,26297,1
full,46,26342,1
traditional_ppo,42,66,1
traditional_ppo,42,136,1
traditional_ppo,42,221,1
traditional_ppo,42,292,1
traditional_ppo,42,372,1
traditional_ppo,42,459,1
traditional_ppo,42,533,1
traditional_ppo,42,610,1
traditional_ppo,42,692,1
traditional_ppo,42,765,1
traditional_ppo,42,850,1
traditional_ppo,42,938,1
traditional_ppo,42,1008,1
traditional_ppo,42,1092,1
traditional_ppo,42,1189,1
traditional_ppo,42,1237,1
traditional_ppo,42,1322,1
traditional_ppo,42,1420,1
traditional_ppo,42,1506,1
traditional_ppo,42,1592,1
traditional_ppo,42,1679,1
traditional_ppo,42,1776,1
traditional_ppo,42,1871,1
traditional_ppo,42,1974,1
traditional_ppo,42,2056,1
traditional_ppo,42,2149,1
traditional_ppo,42,2250,1
traditional_ppo,42,2339,1
traditional_ppo,42,2442,1
traditional_ppo,42,2536,1
traditional_ppo,42,2646,1
traditional_ppo,42,2705,1
traditional_ppo,42,2806,1
traditional_ppo,42,2896,1
traditional_ppo,42,2998,1
traditional_ppo,42,3114,1
traditional_ppo,42,3200,1
traditional_ppo,42,3296,1
traditional_ppo,42,3397,1
traditional_ppo,42,3482,1
traditional_ppo,42,3580,1
traditional_ppo,42,3683,1
traditional_ppo,42,3780,1
traditional_ppo,42,3881,1
traditional_ppo,42,3996,1
traditional_ppo,42,4078,1
traditional_ppo,42,4177,1
traditional_ppo,42,4282,1
traditional_ppo,42,4375,1
traditional_ppo,42,4468,1
traditional_ppo,42,4563,1
traditional_ppo,42,4662,1
traditional_ppo,42,4759,1
traditional_ppo,42,4870,1
traditional_ppo,42,4958,1
traditional_ppo,42,5062,1
traditional_ppo,42,5159,1
traditional_ppo,42,5253,1
traditional_ppo,42,5358,1
traditional_ppo,42,5464,1
traditional_ppo,42,5554,1
traditional_ppo,42,5657,1
traditional_ppo,42,5754,1
traditional_ppo,42,5777,1
traditional_ppo,42,5872,1
traditional_ppo,42,5977,1
traditional_ppo,42,6059,1
traditional_ppo,42,6144,1
traditional_ppo,42,6248,1
traditional_ppo,42,6328,1
traditional_ppo,42,6423,1
traditional_ppo,42,6526,1
traditional_ppo,42,6624,1
traditional_ppo,42,6734,1
traditional_ppo,42,6840,1
traditional_ppo,42,6921,1
traditional_ppo,42,7014,1
traditional_ppo,42,7104,1
traditional_ppo,42,7191,1
traditional_ppo,42,7294,1
traditional_ppo,42,7393,1
traditional_ppo,42,7482,1
traditional_ppo,42,7584,1
traditional_ppo,42,7688,1
traditional_ppo,42,7768,1
traditional_ppo,42,7857,1
traditional_ppo,42,7960,1
traditional_ppo,42,8057,1
traditional_ppo,42,8155,1
traditional_ppo,42,8256,1
traditional_ppo,42,8338,1
traditional_ppo,42,8441,1
traditional_ppo,42,8555,1
traditional_ppo,42,8635,1
traditional_ppo,42,8739,1
traditional_ppo,42,8762,1
traditional_ppo,42,8848,1
traditional_ppo,42,8930,1
traditional_ppo,42,9024,1
traditional_ppo,42,9106,1
traditional_ppo,42,9186,1
traditional_ppo,42,9289,1
traditional_ppo,42,9380,1
traditional_ppo,42,9482,1
traditional_ppo,42,9562,1
traditional_ppo,42,9655,1
traditional_ppo,42,9745,1
traditional_ppo,42,9847,1
traditional_ppo,42,9950,1
traditional_ppo,42,10060,1
traditional_ppo,42,10158,1
traditional_ppo,42,10246,1
traditional_ppo,42,10335,1
traditional_ppo,42,10437,1
traditional_ppo,42,10536,1
traditional_ppo,42,10638,1
traditional_ppo,42,10744,1
traditional_ppo,42,10840,1
traditional_ppo,42,10946,1
traditional_ppo,42,11039,1
traditional_ppo,42,11123,1
traditional_ppo,42,11219,1
traditional_ppo,42,11328,1
traditional_ppo,42,11414,1
traditional_ppo,42,11512,1
traditional_ppo,42,11617,1
traditional_ppo,42,11701,1
traditional_ppo,42,11726,1
traditional_ppo,42,11831,1
traditional_ppo,42,11921,1
traditional_ppo,42,12001,1
traditional_ppo,42,12114,1
traditional_ppo,42,12202,1
traditional_ppo,42,12299,1
traditional_ppo,42,12398,1
traditional_ppo,42,12496,1
traditional_ppo,42,12592,1
traditional_ppo,42,12690,1
traditional_ppo,42,12785,1
traditional_ppo,42,12887,1
traditional_ppo,42,12991,1
traditional_ppo,42,13082,1
traditional_ppo,42,13181,1
traditional_ppo,42,13282,1
traditional_ppo,42,13374,1
traditional_ppo,42,13473,1
traditional_ppo,42,13567,1
traditional_ppo,42,13650,1
traditional_ppo,42,13737,1
traditional_ppo,42,13825,1
traditional_ppo,42,13929,1
traditional_ppo,42,14028,1
traditional_ppo,42,14132,1
traditional_ppo,42,14212,1
traditional_ppo,42,14305,1
traditional_ppo,42,14413,1
traditional_ppo,42,14506,1
traditional_ppo,42,14608,1
traditional_ppo,42,14713,1
traditional_ppo,42,14738,1
traditional_ppo,42,14829,1
traditional_ppo,42,14934,1
traditional_ppo,42,15038,1
traditional_ppo,42,15129,1
traditional_ppo,42,15233,1
traditional_ppo,42,15320,1
traditional_ppo,42,15418,1
traditional_ppo,42,15521,1
traditional_ppo,42,15610,1
traditional_ppo,42,15697,1
traditional_ppo,42,15794,1
traditional_ppo,42,15884,1
traditional_ppo,42,15978,1
traditional_ppo,42,16087,1
traditional_ppo,42,16181,1
traditional_ppo,42,16279,1
traditional_ppo,42,16384,1
traditional_ppo,42,16478,1
traditional_ppo,42,16584,1
traditional_ppo,42,16679,1
traditional_ppo,42,16770,1
traditional_ppo,42,16865,1
traditional_ppo,42,16968,1
traditional_ppo,42,17048,1
traditional_ppo,42,17154,1
traditional_ppo,42,17246,1
traditional_ppo,42,17345,1
traditional_ppo,42,17438,1
traditional_ppo,42,17539,1
traditional_ppo,42,17630,1
traditional_ppo,42,17727,1
traditional_ppo,42,17753,1
traditional_ppo,43,69,1
traditional_ppo,43,146,1
traditional_ppo,43,224,1
traditional_ppo,43,297,1
traditional_ppo,43,376,1
traditional_ppo,43,450,1
traditional_ppo,43,525,1
traditional_ppo,43,610,1
traditional_ppo,43,705,1
traditional_ppo,43,786,1
traditional_ppo,43,863,1
traditional_ppo,43,960,1
traditional_ppo,43,1031,1
traditional_ppo,43,1124,1
traditional_ppo,43,1212,1
traditional_ppo,43,1270,1
traditional_ppo,43,1365,1
traditional_ppo,43,1460,1
traditional_ppo,43,1549,1
traditional_ppo,43,1654,1
traditional_ppo,43,1745,1
traditional_ppo,43,1830,1
traditional_ppo,43,1927,1
traditional_ppo,43,2027,1
traditional_ppo,43,2117,1
traditional_ppo,43,2213,1
traditional_ppo,43,2314,1
traditional_ppo,43,2403,1
traditional_ppo,43,2492,1
traditional_ppo,43,2581,1
traditional_ppo,43,2677,1
traditional_ppo,43,2732,1
traditional_ppo,43,2827,1
traditional_ppo,43,2914,1
traditional_ppo,43,3001,1
traditional_ppo,43,3093,1
traditional_ppo,43,3185,1
traditional_ppo,43,3274,1
traditional_ppo,43,3359,1
traditional_ppo,43,3448,1
traditional_ppo,43,3547,1
traditional_ppo,43,3643,1
traditional_ppo,43,3725,1
traditional_ppo,43,3824,1
traditional_ppo,43,3927,1
traditional_ppo,43,4013,1
traditional_ppo,43,4122,1
traditional_ppo,43,4203,1
traditional_ppo,43,4307,1
traditional_ppo,43,4396,1
traditional_ppo,43,4490,1
traditional_ppo,43,4576,1
traditional_ppo,43,4671,1
traditional_ppo,43,4791,1
traditional_ppo,43,4872,1
traditional_ppo,43,4973,1
traditional_ppo,43,5078,1
traditional_ppo,43,5171,1
traditional_ppo,43,5264,1
traditional_ppo,43,5358,1
traditional_ppo,43,5446,1
traditional_ppo,43,5544,1
traditional_ppo,43,5647,1
traditional_ppo,43,5668,1
traditional_ppo,43,5760,1
traditional_ppo,43,5862,1
traditional_ppo,43,5946,1
traditional_ppo,43,6031,1
traditional_ppo,43,6133,1
traditional_ppo,43,6232,1
traditional_ppo,43,6325,1
traditional_ppo,43,6430,1
traditional_ppo,43,6517,1
traditional_ppo,43,6604,1
traditional_ppo,43,6705,1
traditional_ppo,43,6802,1
traditional_ppo,43,6899,1
traditional_ppo,43,6995,1
traditional_ppo,43,7088,1
traditional_ppo,43,7180,1
traditional_ppo,43,7268,1
traditional_ppo,43,7346,1
traditional_ppo,43,7447,1
traditional_ppo,43,7555,1
traditional_ppo,43,7641,1
traditional_ppo,43,7725,1
traditional_ppo,43,7827,1
traditional_ppo,43,7909,1
traditional_ppo,43,8012,1
traditional_ppo,43,8123,1
traditional_ppo,43,8218,1
traditional_ppo,43,8322,1
traditional_ppo,43,8421,1
traditional_ppo,43,8516,1
traditional_ppo,43,8611,1
traditional_ppo,43,8639,1
