model,training_seed,environment_interactions,mean_weighted_coverage
full,45,1308,0.453125
full,45,1425,0.38125
full,45,1588,0.4579081633
full,45,1662,0.459375
full,45,1789,0.40625
full,45,1924,0.362244898
full,45,2042,0.466796875
full,45,2168,0.4078125
full,45,2332,0.4604591837
full,45,2448,0.451171875
full,45,2592,0.4703125
full,45,2742,0.4132653061
full,45,2855,0.4453125
full,45,2989,0.453125
full,45,3149,0.4362244898
full,45,3269,0.46875
full,45,3403,0.4671875
full,45,3553,0.4209183673
full,45,3681,0.5078125
full,45,3764,0.4475
full,45,3911,0.4260204082
full,45,4019,0.4296875
full,45,4156,0.459375
full,45,4291,0.3698979592
full,45,4378,0.337890625
full,45,4488,0.3640625
full,45,4625,0.3839285714
full,45,4723,0.373046875
full,45,4845,0.4203125
full,45,4990,0.3941326531
full,45,5117,0.537109375
full,45,5225,0.33125
full,45,5371,0.4017857143
full,45,5486,0.44921875
full,45,5620,0.4375
full,45,5765,0.4043367347
full,45,5898,0.51953125
full,45,6031,0.425
full,45,6191,0.4451530612
full,45,6305,0.4609375
full,45,6454,0.4875
full,45,6601,0.4183673469
full,45,6722,0.451171875
full,45,6860,0.4453125
full,45,7017,0.4196428571
full,45,7133,0.427734375
full,45,7282,0.4875
full,45,7464,0.4961734694
full,45,7592,0.4765625
full,45,7729,0.44375
full,45,7884,0.431122449
full,45,7915,0.5
full,45,8061,0.4546875
full,45,8234,0.4617346939
full,45,8351,0.451171875
full,45,8474,0.38125
full,45,8647,0.4528061224
full,45,8768,0.45703125
full,45,8915,0.490625
full,45,9053,0.3596938776
full,45,9167,0.462890625
full,45,9315,0.484375
full,45,9479,0.4655612245
full,45,9594,0.46484375
full,45,9736,0.45
full,45,9891,0.4094387755
full,45,10009,0.46875
full,45,10143,0.4234375
full,45,10309,0.4489795918
full,45,10432,0.474609375
full,45,10591,0.5203125
full,45,10749,0.4183673469
full,45,10885,0.501953125
full,45,11044,0.5296875
full,45,11197,0.4349489796
full,45,11337,0.56640625
full,45,11506,0.5234375
full,45,11697,0.5012755102
full,45,11820,0.45703125
full,45,11969,0.475
full,45,12108,0.3839285714
full,45,12222,0.455078125
full,45,12366,0.4859375
full,45,12405,0.3928571429
full,45,12527,0.484375
full,45,12659,0.4203125
full,45,12808,0.4043367347
full,45,12916,0.42578125
full,45,13048,0.4265625
full,45,13195,0.3941326531
full,45,13328,0.5234375
full,45,13476,0.50625
full,45,13630,0.4158163265
full,45,13747,0.451171875
full,45,13887,0.4609375
full,45,14053,0.4604591837
full,45,14161,0.423828125
