record_type,model,training_seed,episodes_seen,mean_return,batch_episode_count,reward_schema,source_path,source_sha256,median,q25,q75
seed,full,42.0,740,0.4213805440813303,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,756,0.4650214444845915,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,772,0.48991845548152924,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,788,0.4261378860101104,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,804,0.4359320793300867,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,820,0.49386698938906193,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,836,0.4731121938675642,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,852,0.48432264663279057,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,868,0.5019762869924307,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,884,0.49484964925795794,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,900,0.4002662720158696,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,916,0.478677942417562,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
