record_type,model,training_seed,episodes_seen,environment_interactions,safe_weighted_coverage,median,q25,q75,validation_mode,validation_instance_count,validation_instances_hash,source_path,source_sha256
seed,full,43,1416,11996,0.497236394557823,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,1500,12722,0.493791335978836,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,1564,13306,0.491986725245654,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,1724,14711,0.499250047241118,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,1884,16218,0.495745937263794,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,2000,17201,0.49568570483749,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,2032,17474,0.496580924036281,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,2192,18914,0.500090939153439,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,2352,20433,0.498913454270597,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,2500,21760,0.495505007558579,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,2660,23253,0.499311460695389,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,2820,24881,0.501625094482237,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,2980,26331,0.502502598261527,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,3000,26535,0.500511385109599,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,44,16,76,0.370693972033258,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,160,1011,0.462716128117914,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,250,1727,0.469693641345427,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,314,2237,0.475380291005291,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,474,3617,0.483767951625094,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,500,3815,0.484546249055178,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,628,4992,0.487732662509448,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,788,6492,0.480453987150416,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
