episodes_seen,mean_weighted_coverage,median,model,q25,q75,record_type,training_seed
964.0,0.421875,,full,,,seed,43.0
980.0,0.490625,,full,,,seed,43.0
996.0,0.4451530612244898,,full,,,seed,43.0
1000.0,0.5,,full,,,seed,43.0
1016.0,0.49375,,full,,,seed,43.0
1032.0,0.4783163265306122,,full,,,seed,43.0
1048.0,0.45703125,,full,,,seed,43.0
1064.0,0.4125,,full,,,seed,43.0
1080.0,0.4681122448979591,,full,,,seed,43.0
1096.0,0.5546875,,full,,,seed,43.0
1112.0,0.45625,,full,,,seed,43.0
1128.0,0.4323979591836734,,full,,,seed,43.0
1144.0,0.46484375,,full,,,seed,43.0
1160.0,0.4421875,,full,,,seed,43.0
1176.0,0.4540816326530612,,full,,,seed,43.0
1192.0,0.517578125,,full,,,seed,43.0
1208.0,0.4984375,,full,,,seed,43.0
1224.0,0.4502551020408163,,full,,,seed,43.0
1240.0,0.427734375,,full,,,seed,43.0
1256.0,0.428125,,full,,,seed,43.0
1272.0,0.3647959183673469,,full,,,seed,43.0
1288.0,0.46484375,,full,,,seed,43.0
1304.0,0.5015625,,full,,,seed,43.0
1320.0,0.4655612244897959,,full,,,seed,43.0
1336.0,0.435546875,,full,,,seed,43.0
1352.0,0.36875,,full,,,seed,43.0
1368.0,0.451530612244898,,full,,,seed,43.0
1384.0,0.431640625,,full,,,seed,43.0
1400.0,0.5046875000000001,,full,,,seed,43.0
1416.0,0.4681122448979591,,full,,,seed,43.0
1432.0,0.513671875,,full,,,seed,43.0
1448.0,0.49375,,full,,,seed,43.0
1464.0,0.3852040816326531,,full,,,seed,43.0
1480.0,0.48828125,,full,,,seed,43.0
1496.0,0.4453125,,full,,,seed,43.0
1500.0,0.4744897959183673,,full,,,seed,43.0
1516.0,0.5,,full,,,seed,43.0
1532.0,0.4953125,,full,,,seed,43.0
1548.0,0.5280612244897959,,full,,,seed,43.0
1564.0,0.482421875,,full,,,seed,43.0
1580.0,0.4296875,,full,,,seed,43.0
1596.0,0.4426020408163265,,full,,,seed,43.0
1612.0,0.5234375,,full,,,seed,43.0
1628.0,0.4265624999999999,,full,,,seed,43.0
1644.0,0.4477040816326531,,full,,,seed,43.0
1660.0,0.46484375,,full,,,seed,43.0
1676.0,0.49375,,full,,,seed,43.0
1692.0,0.4158163265306122,,full,,,seed,43.0
1708.0,0.4765625,,full,,,seed,43.0
1724.0,0.390625,,full,,,seed,43.0
1740.0,0.4528061224489795,,full,,,seed,43.0
1756.0,0.505859375,,full,,,seed,43.0
1772.0,0.4203125,,full,,,seed,43.0
1788.0,0.4221938775510204,,full,,,seed,43.0
1804.0,0.50390625,,full,,,seed,43.0
1820.0,0.4859375,,full,,,seed,43.0
1836.0,0.4272959183673469,,full,,,seed,43.0
