aggregation,grid_id,is_first,model,rank,scope,score,score_0_to_1,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,15,0.0,traditional_ppo,3,core_learning_training_aware,0.6186245529340668,0.6186245529340668,61.86245529340668,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,15,0.0,a2c_pointer,2,core_learning_training_aware,0.7334008836043215,0.7334008836043215,73.34008836043215,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,0.0,a2c_pointer,2,core_learning_training_aware,0.7707925550138103,0.7707925550138103,77.07925550138103,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,16,1.0,full,1,core_learning_training_aware,0.7113596146883547,0.7113596146883547,71.13596146883548,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,1.0,full,1,core_learning_training_aware,0.7510785114198277,0.7510785114198277,75.10785114198278,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,16,0.0,traditional_ppo,3,core_learning_training_aware,0.4632379656467819,0.4632379656467819,46.32379656467819,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,0.0,traditional_ppo,3,core_learning_training_aware,0.5607095832696385,0.5607095832696385,56.07095832696385,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,16,0.0,a2c_pointer,2,core_learning_training_aware,0.7096144837442047,0.7096144837442047,70.96144837442047,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,0.0,a2c_pointer,2,core_learning_training_aware,0.7468211259273837,0.7468211259273837,74.68211259273836,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,17,1.0,full,1,core_learning_training_aware,0.7121125109431343,0.7121125109431343,71.21125109431344,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,1.0,full,1,core_learning_training_aware,0.7521106112668344,0.7521106112668344,75.21106112668345,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,17,0.0,traditional_ppo,3,core_learning_training_aware,0.5044098775071061,0.5044098775071061,50.44098775071061,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,0.0,traditional_ppo,3,core_learning_training_aware,0.6010391959384735,0.6010391959384735,60.10391959384735,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,17,0.0,a2c_pointer,2,core_learning_training_aware,0.7104833160787667,0.7104833160787667,71.04833160787666,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,0.0,a2c_pointer,2,core_learning_training_aware,0.7479937492685778,0.7479937492685778,74.79937492685778,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,18,1.0,full,1,core_learning_training_aware,0.7128662040561539,0.7128662040561539,71.28662040561538,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,1.0,full,1,core_learning_training_aware,0.7531427111138409,0.7531427111138409,75.31427111138409,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,18,0.0,traditional_ppo,3,core_learning_training_aware,0.5492410885871469,0.5492410885871469,54.924108858714696,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,0.0,traditional_ppo,3,core_learning_training_aware,0.6413688086073084,0.6413688086073084,64.13688086073084,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,18,0.0,a2c_pointer,2,core_learning_training_aware,0.7113532121875933,0.7113532121875933,71.13532121875933,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,0.0,a2c_pointer,2,core_learning_training_aware,0.7491663726097718,0.7491663726097718,74.91663726097718,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,19,1.0,full,1,core_learning_training_aware,0.7578989446135764,0.7578989446135764,75.78989446135765,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,1.0,full,1,core_learning_training_aware,0.7958696336728909,0.7958696336728909,79.58696336728909,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,19,0.0,traditional_ppo,3,core_learning_training_aware,0.4831324786507933,0.4831324786507933,48.313247865079326,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,0.0,traditional_ppo,3,core_learning_training_aware,0.5938976717550168,0.5938976717550168,59.38976717550168,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,19,0.0,a2c_pointer,2,core_learning_training_aware,0.7535829174327034,0.7535829174327034,75.35829174327034,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,0.0,a2c_pointer,2,core_learning_training_aware,0.7892511119424,0.7892511119424,78.92511119424,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,20,1.0,full,1,core_learning_training_aware,0.7587010976527968,0.7587010976527968,75.87010976527968,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,1.0,full,1,core_learning_training_aware,0.7969017335198978,0.7969017335198978,79.69017335198978,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,20,0.0,traditional_ppo,3,core_learning_training_aware,0.5260725856864883,0.5260725856864883,52.60725856864883,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,0.0,traditional_ppo,3,core_learning_training_aware,0.6342272844238519,0.6342272844238519,63.42272844238519,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,20,0.0,a2c_pointer,2,core_learning_training_aware,0.7545055835006004,0.7545055835006004,75.45055835006004,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,0.0,a2c_pointer,2,core_learning_training_aware,0.7904237352835943,0.7904237352835943,79.04237352835943,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,21,1.0,full,1,core_learning_training_aware,0.7330136647337464,0.7330136647337464,73.30136647337464,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,1.0,full,1,core_learning_training_aware,0.7718537876791463,0.7718537876791463,77.18537876791463,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,21,0.0,traditional_ppo,3,core_learning_training_aware,0.4725955598656315,0.4725955598656315,47.25955598656315,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,0.0,traditional_ppo,3,core_learning_training_aware,0.5763123147594236,0.5763123147594236,57.63123147594236,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,21,0.0,a2c_pointer,2,core_learning_training_aware,0.7300346946496965,0.7300346946496965,73.00346946496965,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,0.0,a2c_pointer,2,core_learning_training_aware,0.7664523061971676,0.7664523061971676,76.64523061971677,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,22,1.0,full,1,core_learning_training_aware,0.7337894794292743,0.7337894794292743,73.37894794292743,0.2,0.1,0.15,0.15,0.1,0.15,0.15
