episodes_seen,mean_weighted_coverage,median,model,q25,q75,record_type,training_seed
1096.0,0.2890625,,full,,,seed,44
1112.0,0.4109375,,full,,,seed,44
1128.0,0.38137755102040816,,full,,,seed,44
1144.0,0.4375,,full,,,seed,44
1160.0,0.45,,full,,,seed,44
1176.0,0.44260204081632654,,full,,,seed,44
1192.0,0.578125,,full,,,seed,44
1208.0,0.4984375,,full,,,seed,44
1224.0,0.5012755102040816,,full,,,seed,44
1240.0,0.4765625,,full,,,seed,44
1256.0,0.4375,,full,,,seed,44
1272.0,0.4604591836734694,,full,,,seed,44
1288.0,0.423828125,,full,,,seed,44
1304.0,0.40625,,full,,,seed,44
1320.0,0.39413265306122447,,full,,,seed,44
1336.0,0.470703125,,full,,,seed,44
1352.0,0.546875,,full,,,seed,44
1368.0,0.41964285714285715,,full,,,seed,44
1384.0,0.49609375,,full,,,seed,44
1400.0,0.5046875000000001,,full,,,seed,44
1416.0,0.4413265306122449,,full,,,seed,44
1432.0,0.48828125,,full,,,seed,44
1448.0,0.5031249999999999,,full,,,seed,44
1464.0,0.534438775510204,,full,,,seed,44
1480.0,0.546875,,full,,,seed,44
1496.0,0.5343749999999999,,full,,,seed,44
1500.0,0.2653061224489796,,full,,,seed,44
1516.0,0.533203125,,full,,,seed,44
1532.0,0.44218749999999996,,full,,,seed,44
1548.0,0.44005102040816324,,full,,,seed,44
1564.0,0.439453125,,full,,,seed,44
1580.0,0.4671875,,full,,,seed,44
1596.0,0.48086734693877553,,full,,,seed,44
1612.0,0.462890625,,full,,,seed,44
1628.0,0.4078125,,full,,,seed,44
1644.0,0.4897959183673469,,full,,,seed,44
1660.0,0.439453125,,full,,,seed,44
1676.0,0.44375,,full,,,seed,44
1692.0,0.44260204081632654,,full,,,seed,44
1708.0,0.47265625,,full,,,seed,44
1724.0,0.4828125,,full,,,seed,44
1740.0,0.4961734693877551,,full,,,seed,44
1756.0,0.529296875,,full,,,seed,44
1772.0,0.4203125,,full,,,seed,44
1788.0,0.44515306122448983,,full,,,seed,44
1804.0,0.41796875,,full,,,seed,44
1820.0,0.43437499999999996,,full,,,seed,44
1836.0,0.4068877551020408,,full,,,seed,44
1852.0,0.490234375,,full,,,seed,44
1868.0,0.5109374999999999,,full,,,seed,44
1884.0,0.43112244897959184,,full,,,seed,44
1900.0,0.498046875,,full,,,seed,44
1916.0,0.4640625,,full,,,seed,44
1932.0,0.46811224489795916,,full,,,seed,44
1948.0,0.451171875,,full,,,seed,44
1964.0,0.4578125,,full,,,seed,44
1980.0,0.485969387755102,,full,,,seed,44
1996.0,0.5,,full,,,seed,44
2000.0,0.4375,,full,,,seed,44
2016.0,0.45918367346938777,,full,,,seed,44
2032.0,0.49609375,,full,,,seed,44
2048.0,0.5109375,,full,,,seed,44
2064.0,0.4336734693877551,,full,,,seed,44
2080.0,0.513671875,,full,,,seed,44
2096.0,0.47343749999999996,,full,,,seed,44
2112.0,0.4502551020408163,,full,,,seed,44
2128.0,0.443359375,,full,,,seed,44
2144.0,0.45781249999999996,,full,,,seed,44
2160.0,0.4693877551020408,,full,,,seed,44
2176.0,0.47265625,,full,,,seed,44
2192.0,0.43437499999999996,,full,,,seed,44
2208.0,0.4272959183673469,,full,,,seed,44
2224.0,0.490234375,,full,,,seed,44
2240.0,0.471875,,full,,,seed,44
2256.0,0.47066326530612246,,full,,,seed,44
2272.0,0.568359375,,full,,,seed,44
2288.0,0.47500000000000003,,full,,,seed,44
2304.0,0.35841836734693877,,full,,,seed,44
2320.0,0.521484375,,full,,,seed,44
2336.0,0.5203125000000001,,full,,,seed,44
2352.0,0.5012755102040816,,full,,,seed,44
2368.0,0.44140625,,full,,,seed,44
2384.0,0.378125,,full,,,seed,44
2400.0,0.48852040816326536,,full,,,seed,44
2416.0,0.458984375,,full,,,seed,44
2432.0,0.45000000000000007,,full,,,seed,44
2448.0,0.4413265306122449,,full,,,seed,44
2464.0,0.447265625,,full,,,seed,44
2480.0,0.48281250000000003,,full,,,seed,44
2496.0,0.45790816326530615,,full,,,seed,44
2500.0,0.421875,,full,,,seed,44
2516.0,0.3828125,,full,,,seed,44
2532.0,0.3903061224489796,,full,,,seed,44
2548.0,0.384765625,,full,,,seed,44
2564.0,0.5078125,,full,,,seed,44
2580.0,0.48086734693877553,,full,,,seed,44
2596.0,0.482421875,,full,,,seed,44
2612.0,0.41875,,full,,,seed,44
2628.0,0.45280612244897955,,full,,,seed,44
2644.0,0.4609375,,full,,,seed,44
2660.0,0.4703125,,full,,,seed,44
2676.0,0.44515306122448983,,full,,,seed,44
2692.0,0.447265625,,full,,,seed,44
2708.0,0.4828125,,full,,,seed,44
2724.0,0.49872448979591844,,full,,,seed,44
2740.0,0.55078125,,full,,,seed,44
2756.0,0.54375,,full,,,seed,44
2772.0,0.45153061224489793,,full,,,seed,44
2788.0,0.494140625,,full,,,seed,44
2804.0,0.47187500000000004,,full,,,seed,44
2820.0,0.48852040816326525,,full,,,seed,44
2836.0,0.44921875,,full,,,seed,44
2852.0,0.5734375,,full,,,seed,44
2868.0,0.5216836734693877,,full,,,seed,44
2884.0,0.40234375,,full,,,seed,44
2900.0,0.4625,,full,,,seed,44
2916.0,0.4502551020408163,,full,,,seed,44
2932.0,0.435546875,,full,,,seed,44
2948.0,0.43906249999999997,,full,,,seed,44
2964.0,0.42219387755102045,,full,,,seed,44
2980.0,0.474609375,,full,,,seed,44
2996.0,0.478125,,full,,,seed,44
3000.0,0.34183673469387754,,full,,,seed,44
16.0,0.21484375,,full,,,seed,45
32.0,0.203125,,full,,,seed,45
48.0,0.2193877551020408,,full,,,seed,45
64.0,0.314453125,,full,,,seed,45
80.0,0.3109375,,full,,,seed,45
96.0,0.3214285714285714,,full,,,seed,45
112.0,0.337890625,,full,,,seed,45
128.0,0.35625,,full,,,seed,45
144.0,0.31887755102040816,,full,,,seed,45
160.0,0.408203125,,full,,,seed,45
176.0,0.3828125,,full,,,seed,45
192.0,0.3380102040816326,,full,,,seed,45
208.0,0.453125,,full,,,seed,45
224.0,0.38125,,full,,,seed,45
240.0,0.4579081632653061,,full,,,seed,45
250.0,0.459375,,full,,,seed,45
266.0,0.40625,,full,,,seed,45
282.0,0.3622448979591837,,full,,,seed,45
298.0,0.466796875,,full,,,seed,45
314.0,0.40781249999999997,,full,,,seed,45
330.0,0.4604591836734694,,full,,,seed,45
346.0,0.451171875,,full,,,seed,45
362.0,0.4703125,,full,,,seed,45
378.0,0.41326530612244894,,full,,,seed,45
394.0,0.4453125,,full,,,seed,45
410.0,0.453125,,full,,,seed,45
426.0,0.4362244897959183,,full,,,seed,45
442.0,0.46875,,full,,,seed,45
458.0,0.4671875,,full,,,seed,45
474.0,0.42091836734693877,,full,,,seed,45
490.0,0.5078125,,full,,,seed,45
500.0,0.44749999999999995,,full,,,seed,45
516.0,0.42602040816326536,,full,,,seed,45
532.0,0.4296875,,full,,,seed,45
548.0,0.459375,,full,,,seed,45
564.0,0.36989795918367346,,full,,,seed,45
580.0,0.337890625,,full,,,seed,45
596.0,0.36406249999999996,,full,,,seed,45
612.0,0.3839285714285714,,full,,,seed,45
628.0,0.373046875,,full,,,seed,45
644.0,0.4203125,,full,,,seed,45
660.0,0.39413265306122447,,full,,,seed,45
676.0,0.537109375,,full,,,seed,45
692.0,0.33125,,full,,,seed,45
708.0,0.4017857142857143,,full,,,seed,45
724.0,0.44921875,,full,,,seed,45
740.0,0.4375,,full,,,seed,45
756.0,0.40433673469387754,,full,,,seed,45
772.0,0.51953125,,full,,,seed,45
788.0,0.425,,full,,,seed,45
804.0,0.4451530612244898,,full,,,seed,45
