aggregation,grid_id,is_first,model,operational_floor,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,23,0.0,traditional_ppo,0.0,3,66.74006579106444,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,24,1.0,full,0.0,1,61.86956262654929,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,1.0,full,0.0,1,65.27947853127299,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,24,0.0,a2c_pointer,0.0,2,61.776076047993215,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,0.0,a2c_pointer,0.0,2,65.12975738655535,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,24,0.0,traditional_ppo,0.0,3,50.08691961845252,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,0.0,traditional_ppo,0.0,3,57.67353886505241,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,25,1.0,full,0.0,1,64.12725108501415,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,1.0,full,0.0,1,67.83236085814967,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,25,0.0,a2c_pointer,0.0,2,64.08870139165896,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,0.0,a2c_pointer,0.0,2,67.72482593377876,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,25,0.0,traditional_ppo,0.0,3,53.484028991878795,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,0.0,traditional_ppo,0.0,3,61.307178730133,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,26,0.0,full,0.0,2,66.46732508103732,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,1.0,full,0.0,1,70.38524318502633,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,26,1.0,a2c_pointer,0.0,1,66.4879012852526,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,0.0,a2c_pointer,0.0,2,70.31989448100214,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,26,0.0,traditional_ppo,0.0,3,57.11154487029546,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,0.0,traditional_ppo,0.0,3,64.94081859521357,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,27,0.0,full,0.0,2,68.89279095359055,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,1.0,full,0.0,1,72.93812551190302,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,27,1.0,a2c_pointer,0.0,1,68.97691670021628,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,0.0,a2c_pointer,0.0,2,72.91496302822551,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,27,0.0,traditional_ppo,0.0,3,60.98509440953007,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,0.0,traditional_ppo,0.0,3,68.57445846029415,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,28,1.0,full,0.0,1,66.50336527722673,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,1.0,full,0.0,1,70.60851685494437,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,28,0.0,a2c_pointer,0.0,2,66.39240876539986,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,0.0,a2c_pointer,0.0,2,70.51011396334253,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,28,0.0,traditional_ppo,0.0,3,52.46872586909432,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,0.0,traditional_ppo,0.0,3,61.42382510539436,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,29,1.0,full,0.0,1,64.28159075027136,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,1.0,full,0.0,1,68.1480575092825,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,29,0.0,a2c_pointer,0.0,2,64.22945190820596,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,0.0,a2c_pointer,0.0,2,68.09510695006372,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,29,0.0,traditional_ppo,0.0,3,51.30330929583526,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,0.0,traditional_ppo,0.0,3,59.62457790954348,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,30,0.0,full,0.0,2,66.62729677060732,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,1.0,full,0.0,1,70.70093983615918,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,30,1.0,a2c_pointer,0.0,1,66.6339208838217,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,0.0,a2c_pointer,0.0,2,70.69017549728711,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,30,0.0,traditional_ppo,0.0,3,54.782919426071,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,0.0,traditional_ppo,0.0,3,63.25821777462407,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,31,0.0,full,0.0,2,62.134042272299375,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,1.0,full,0.0,1,65.68759816362063,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,31,1.0,a2c_pointer,0.0,1,62.13696067280645,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,0.0,a2c_pointer,0.0,2,65.68009993678491,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,31,0.0,traditional_ppo,0.0,3,50.1637785386834,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,0.0,traditional_ppo,0.0,3,57.82533071369262,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,32,0.0,full,0.0,2,64.40138188422902,0.2,0.1,0.2,0.05,0.15,0.15,0.15
arithmetic,32,0.0,full,0.0,2,68.2404804904973,0.2,0.1,0.2,0.05,0.15,0.15,0.15
geometric,32,1.0,a2c_pointer,0.0,1,64.46309595402205,0.2,0.1,0.2,0.05,0.15,0.15,0.15
arithmetic,32,1.0,a2c_pointer,0.0,1,68.2751684840083,0.2,0.1,0.2,0.05,0.15,0.15,0.15
geometric,32,0.0,traditional_ppo,0.0,3,53.566100813209175,0.2,0.1,0.2,0.05,0.15,0.15,0.15
arithmetic,32,0.0,traditional_ppo,0.0,3,61.4589705787732,0.2,0.1,0.2,0.05,0.15,0.15,0.15
geometric,33,0.0,full,0.0,2,66.75145921493282,0.2,0.1,0.2,0.05,0.15,0.2,0.1
arithmetic,33,0.0,full,0.0,2,70.79336281737397,0.2,0.1,0.2,0.05,0.15,0.2,0.1
geometric,33,1.0,a2c_pointer,0.0,1,66.8763115379742,0.2,0.1,0.2,0.05,0.15,0.2,0.1
arithmetic,33,1.0,a2c_pointer,0.0,1,70.87023703123168,0.2,0.1,0.2,0.05,0.15,0.2,0.1
geometric,33,0.0,traditional_ppo,0.0,3,57.19918315400082,0.2,0.1,0.2,0.05,0.15,0.2,0.1
arithmetic,33,0.0,traditional_ppo,0.0,3,65.09261044385376,0.2,0.1,0.2,0.05,0.15,0.2,0.1
geometric,34,1.0,full,0.0,1,66.23834617237046,0.2,0.1,0.2,0.1,0.05,0.15,0.2
arithmetic,34,1.0,full,0.0,1,70.22558513521435,0.2,0.1,0.2,0.1,0.05,0.15,0.2
geometric,34,0.0,a2c_pointer,0.0,2,66.07774980002645,0.2,0.1,0.2,0.1,0.05,0.15,0.2
arithmetic,34,0.0,a2c_pointer,0.0,2,70.05822497704213,0.2,0.1,0.2,0.1,0.05,0.15,0.2
geometric,34,0.0,traditional_ppo,0.0,3,52.33965688838258,0.2,0.1,0.2,0.1,0.05,0.15,0.2
arithmetic,34,0.0,traditional_ppo,0.0,3,61.18485105852199,0.2,0.1,0.2,0.1,0.05,0.15,0.2
geometric,35,1.0,full,0.0,1,68.65545635244126,0.2,0.1,0.2,0.1,0.05,0.2,0.15
arithmetic,35,1.0,full,0.0,1,72.77846746209103,0.2,0.1,0.2,0.1,0.05,0.2,0.15
geometric,35,0.0,a2c_pointer,0.0,2,68.55141094226586,0.2,0.1,0.2,0.1,0.05,0.2,0.15
arithmetic,35,0.0,a2c_pointer,0.0,2,72.65329352426551,0.2,0.1,0.2,0.1,0.05,0.2,0.15
geometric,35,0.0,traditional_ppo,0.0,3,55.88955655024831,0.2,0.1,0.2,0.1,0.05,0.2,0.15
arithmetic,35,0.0,traditional_ppo,0.0,3,64.81849092360258,0.2,0.1,0.2,0.1,0.05,0.2,0.15
geometric,36,1.0,full,0.0,1,64.02542552361916,0.2,0.1,0.2,0.1,0.1,0.1,0.2
arithmetic,36,1.0,full,0.0,1,67.76512578955249,0.2,0.1,0.2,0.1,0.1,0.1,0.2
geometric,36,0.0,a2c_pointer,0.0,2,63.92504402092247,0.2,0.1,0.2,0.1,0.1,0.1,0.2
arithmetic,36,0.0,a2c_pointer,0.0,2,67.64321796376332,0.2,0.1,0.2,0.1,0.1,0.1,0.2
geometric,36,0.0,traditional_ppo,0.0,3,51.17710714916082,0.2,0.1,0.2,0.1,0.1,0.1,0.2
arithmetic,36,0.0,traditional_ppo,0.0,3,59.38560386267113,0.2,0.1,0.2,0.1,0.1,0.1,0.2
geometric,37,1.0,full,0.0,1,66.36178379279734,0.2,0.1,0.2,0.1,0.1,0.15,0.15
arithmetic,37,1.0,full,0.0,1,70.31800811642916,0.2,0.1,0.2,0.1,0.1,0.15,0.15
geometric,37,0.0,a2c_pointer,0.0,2,66.31811730034028,0.2,0.1,0.2,0.1,0.1,0.15,0.15
arithmetic,37,0.0,a2c_pointer,0.0,2,70.2382865109867,0.2,0.1,0.2,0.1,0.1,0.15,0.15
geometric,37,0.0,traditional_ppo,0.0,3,54.64815770937946,0.2,0.1,0.2,0.1,0.1,0.15,0.15
arithmetic,37,0.0,traditional_ppo,0.0,3,63.01924372775171,0.2,0.1,0.2,0.1,0.1,0.15,0.15
geometric,38,0.0,full,0.0,2,68.78339834754202,0.2,0.1,0.2,0.1,0.1,0.2,0.1
arithmetic,38,1.0,full,0.0,1,72.87089044330585,0.2,0.1,0.2,0.1,0.1,0.2,0.1
geometric,38,1.0,a2c_pointer,0.0,1,68.80077674756406,0.2,0.1,0.2,0.1,0.1,0.2,0.1
arithmetic,38,0.0,a2c_pointer,0.0,2,72.8333550582101,0.2,0.1,0.2,0.1,0.1,0.2,0.1
