aggregation,model,scenario,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5
arithmetic,a2c_pointer,balanced_default,synthetic_all,0.5887053964615406,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,a2c_pointer,mission_first,synthetic_all,0.5572113690668643,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,a2c_pointer,mission_first,synthetic_all,0.5827956072080404,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,a2c_pointer,safety_first,synthetic_all,0.6021524375072702,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,a2c_pointer,safety_first,synthetic_all,0.6414890078988358,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,a2c_pointer,realtime_first,synthetic_all,0.5625014874837235,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,a2c_pointer,realtime_first,synthetic_all,0.5930823455394029,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,nearest_feasible,balanced_default,synthetic_all,0.5029290814262007,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,nearest_feasible,balanced_default,synthetic_all,0.5429169856202034,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,nearest_feasible,mission_first,synthetic_all,0.5062382468638358,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,nearest_feasible,mission_first,synthetic_all,0.5354028004698425,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,nearest_feasible,safety_first,synthetic_all,0.5497812313622354,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,nearest_feasible,safety_first,synthetic_all,0.5993762967675894,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,nearest_feasible,realtime_first,synthetic_all,0.47951056904807915,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,nearest_feasible,realtime_first,synthetic_all,0.5235289284215062,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,priority_resource_greedy,balanced_default,synthetic_all,0.5270726557352085,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,priority_resource_greedy,balanced_default,synthetic_all,0.5609012043284205,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,priority_resource_greedy,mission_first,synthetic_all,0.5236651049373224,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,priority_resource_greedy,mission_first,synthetic_all,0.5480496751203813,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,priority_resource_greedy,safety_first,synthetic_all,0.5714171905272538,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,priority_resource_greedy,safety_first,synthetic_all,0.6146650301378734,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,priority_resource_greedy,realtime_first,synthetic_all,0.49883623027374274,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,priority_resource_greedy,realtime_first,synthetic_all,0.5385950158609937,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,aco,balanced_default,synthetic_all,0.5214863167925325,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,aco,balanced_default,synthetic_all,0.5859898682309401,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,aco,mission_first,synthetic_all,0.5589363025006989,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,aco,mission_first,synthetic_all,0.6067673816263051,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,aco,safety_first,synthetic_all,0.562458894957993,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,aco,safety_first,synthetic_all,0.634416634797837,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,aco,realtime_first,synthetic_all,0.4498526761675948,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,aco,realtime_first,synthetic_all,0.5384636831971322,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
