condition,family,map_id,model,perturbed_safe_rate,perturbed_safe_weighted_coverage,repeat_count,retention
localization,hidden_model_perception_mismatch,global_peruvian_andes,no_domain_randomization,1.0,0.4365221088435374,15,0.9778061224489796
power_model,hidden_model_perception_mismatch,global_peruvian_andes,no_domain_randomization,0.6666666666666666,0.32193877551020406,15,0.8645833333333334
wind,hidden_model_perception_mismatch,global_peruvian_andes,no_domain_randomization,0.6666666666666666,0.32193877551020406,15,0.8645833333333334
power_model,known_domain_shift,global_peruvian_andes,no_domain_randomization,1.0,0.4365221088435375,15,0.9791666666666666
wind,known_domain_shift,global_peruvian_andes,no_domain_randomization,1.0,0.4365221088435375,15,0.9791666666666666
dem_error,hidden_model_perception_mismatch,global_southern_alps_nz,no_domain_randomization,1.0,0.45827380952380964,15,1.0
localization,hidden_model_perception_mismatch,global_southern_alps_nz,no_domain_randomization,1.0,0.46160714285714294,15,1.0
power_model,hidden_model_perception_mismatch,global_southern_alps_nz,no_domain_randomization,0.6666666666666666,0.3061904761904762,15,0.8479166666666667
wind,hidden_model_perception_mismatch,global_southern_alps_nz,no_domain_randomization,0.8666666666666667,0.40410714285714294,15,0.9458333333333333
power_model,known_domain_shift,global_southern_alps_nz,no_domain_randomization,1.0,0.441607142857143,15,0.9833333333333333
wind,known_domain_shift,global_southern_alps_nz,no_domain_randomization,1.0,0.4574404761904763,15,0.9958333333333333
dem_error,hidden_model_perception_mismatch,cn_guizhou_karst,no_return_reserve,1.0,0.09801870748299321,15,1.0
localization,hidden_model_perception_mismatch,cn_guizhou_karst,no_return_reserve,1.0,0.09657312925170068,15,0.9958333333333333
power_model,hidden_model_perception_mismatch,cn_guizhou_karst,no_return_reserve,1.0,0.09665816326530613,15,1.0
wind,hidden_model_perception_mismatch,cn_guizhou_karst,no_return_reserve,1.0,0.09665816326530613,15,1.0
dem_error,hidden_model_perception_mismatch,cn_hengduan,no_return_reserve,1.0,0.12722789115646257,15,1.0
localization,hidden_model_perception_mismatch,cn_hengduan,no_return_reserve,1.0,0.12722789115646257,15,1.0
power_model,hidden_model_perception_mismatch,cn_hengduan,no_return_reserve,1.0,0.12722789115646257,15,1.0
wind,hidden_model_perception_mismatch,cn_hengduan,no_return_reserve,1.0,0.12722789115646257,15,1.0
dem_error,hidden_model_perception_mismatch,cn_qinling,no_return_reserve,1.0,0.10496598639455784,15,1.0
localization,hidden_model_perception_mismatch,cn_qinling,no_return_reserve,1.0,0.10832482993197279,15,0.9979166666666667
power_model,hidden_model_perception_mismatch,cn_qinling,no_return_reserve,1.0,0.10496598639455784,15,1.0
wind,hidden_model_perception_mismatch,cn_qinling,no_return_reserve,1.0,0.10496598639455784,15,1.0
dem_error,hidden_model_perception_mismatch,cn_taihang,no_return_reserve,1.0,0.10656462585034014,15,1.0
localization,hidden_model_perception_mismatch,cn_taihang,no_return_reserve,1.0,0.10489795918367348,15,0.9983333333333333
power_model,hidden_model_perception_mismatch,cn_taihang,no_return_reserve,1.0,0.10656462585034014,15,1.0
wind,hidden_model_perception_mismatch,cn_taihang,no_return_reserve,1.0,0.10656462585034014,15,1.0
dem_error,hidden_model_perception_mismatch,global_alps,no_return_reserve,1.0,0.08242346938775509,15,0.9972789115646259
localization,hidden_model_perception_mismatch,global_alps,no_return_reserve,1.0,0.07562074829931972,15,0.9904761904761905
power_model,hidden_model_perception_mismatch,global_alps,no_return_reserve,1.0,0.08514455782312925,15,1.0
wind,hidden_model_perception_mismatch,global_alps,no_return_reserve,1.0,0.08514455782312925,15,1.0
dem_error,hidden_model_perception_mismatch,global_colorado_rockies,no_return_reserve,1.0,0.16522959183673472,15,1.0
localization,hidden_model_perception_mismatch,global_colorado_rockies,no_return_reserve,1.0,0.17817176870748297,15,1.0
power_model,hidden_model_perception_mismatch,global_colorado_rockies,no_return_reserve,1.0,0.16522959183673472,15,1.0
wind,hidden_model_perception_mismatch,global_colorado_rockies,no_return_reserve,1.0,0.16522959183673472,15,1.0
dem_error,hidden_model_perception_mismatch,global_peruvian_andes,no_return_reserve,1.0,0.13920068027210883,15,0.9983333333333333
localization,hidden_model_perception_mismatch,global_peruvian_andes,no_return_reserve,1.0,0.1304251700680272,15,0.9854761904761905
power_model,hidden_model_perception_mismatch,global_peruvian_andes,no_return_reserve,1.0,0.14086734693877553,15,1.0
wind,hidden_model_perception_mismatch,global_peruvian_andes,no_return_reserve,1.0,0.14086734693877553,15,1.0
dem_error,hidden_model_perception_mismatch,global_southern_alps_nz,no_return_reserve,1.0,0.0750170068027211,15,0.998639455782313
localization,hidden_model_perception_mismatch,global_southern_alps_nz,no_return_reserve,1.0,0.07304421768707484,15,1.0
power_model,hidden_model_perception_mismatch,global_southern_alps_nz,no_return_reserve,1.0,0.0697108843537415,15,1.0
wind,hidden_model_perception_mismatch,global_southern_alps_nz,no_return_reserve,1.0,0.0697108843537415,15,1.0
dem_error,hidden_model_perception_mismatch,cn_guizhou_karst,priority_resource_greedy,1.0,0.40314625850340136,3,0.9916666666666667
localization,hidden_model_perception_mismatch,cn_guizhou_karst,priority_resource_greedy,1.0,0.40314625850340136,3,0.9916666666666667
power_model,hidden_model_perception_mismatch,cn_guizhou_karst,priority_resource_greedy,0.3333333333333333,0.14583333333333334,3,0.7343537414965986
wind,hidden_model_perception_mismatch,cn_guizhou_karst,priority_resource_greedy,0.6666666666666666,0.2614795918367347,3,0.85
