domain,model,map_id,safe_weighted_coverage,weighted_coverage,safe_rate,return_rate,planning_time_s
未见合成,no_resource_shaping,synthetic_test__map_018,0.4996371882,0.4996371882,1,1,1.049911418
未见合成,no_resource_shaping,synthetic_test__map_019,0.4486734694,0.4486734694,1,1,1.206627104
未见合成,no_resource_shaping,synthetic_test__map_020,0.5212840136,0.5212840136,1,1,1.182654204
未见合成,no_resource_shaping,synthetic_test__map_021,0.4720890023,0.4720890023,1,1,1.090945951
未见合成,no_resource_shaping,synthetic_test__map_022,0.4795153061,0.4795153061,1,1,0.99113286
未见合成,no_resource_shaping,synthetic_test__map_023,0.5241553288,0.5241553288,1,1,1.352567942
未见合成,no_return_reserve,synthetic_test__map_000,0.1313520408,0.1313520408,1,1,0.4005203311
未见合成,no_return_reserve,synthetic_test__map_001,0.1035345805,0.1035345805,1,1,0.3597815911
未见合成,no_return_reserve,synthetic_test__map_002,0.09425170068,0.09425170068,1,1,0.3762160444
未见合成,no_return_reserve,synthetic_test__map_003,0.1305385488,0.1305385488,1,1,0.4660088911
未见合成,no_return_reserve,synthetic_test__map_004,0.1229620181,0.1229620181,1,1,0.3915458289
未见合成,no_return_reserve,synthetic_test__map_005,0.1337244898,0.1337244898,1,1,0.3949161089
未见合成,no_return_reserve,synthetic_test__map_006,0.0885600907,0.0885600907,1,1,0.34151516
未见合成,no_return_reserve,synthetic_test__map_007,0.1008503401,0.1008503401,1,1,0.3796073978
未见合成,no_return_reserve,synthetic_test__map_008,0.1256094104,0.1256094104,1,1,0.3951816111
未见合成,no_return_reserve,synthetic_test__map_009,0.08674603175,0.08674603175,1,1,0.3553176267
未见合成,no_return_reserve,synthetic_test__map_010,0.1206094104,0.1206094104,1,1,0.3793812356
未见合成,no_return_reserve,synthetic_test__map_011,0.1290164399,0.1290164399,1,1,0.4557165844
未见合成,no_return_reserve,synthetic_test__map_012,0.133925737,0.133925737,1,1,0.3931368333
未见合成,no_return_reserve,synthetic_test__map_013,0.09959750567,0.09959750567,1,1,0.3430633111
未见合成,no_return_reserve,synthetic_test__map_014,0.07878401361,0.07878401361,1,1,0.3031055978
未见合成,no_return_reserve,synthetic_test__map_015,0.08490646259,0.08490646259,1,1,0.36476016
未见合成,no_return_reserve,synthetic_test__map_016,0.1241780045,0.1241780045,1,1,0.3901288933
未见合成,no_return_reserve,synthetic_test__map_017,0.1189087302,0.1189087302,1,1,0.4010634778
未见合成,no_return_reserve,synthetic_test__map_018,0.08612244898,0.08612244898,1,1,0.3277238289
未见合成,no_return_reserve,synthetic_test__map_019,0.1091411565,0.1091411565,1,1,0.3813434711
未见合成,no_return_reserve,synthetic_test__map_020,0.1412386621,0.1412386621,1,1,0.4175201333
未见合成,no_return_reserve,synthetic_test__map_021,0.1237613379,0.1237613379,1,1,0.3634815133
