aggregation,grid_id,is_first,model,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,15,0.0,a2c_pointer,2,70.50134902900868,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,0.0,a2c_pointer,2,73.58266808457118,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,16,1.0,full,1,69.24581516750293,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,1.0,full,1,72.67840837985888,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,16,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,0.0,traditional_ppo,3,51.470274651522395,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,16,0.0,a2c_pointer,2,68.23644318387119,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,0.0,a2c_pointer,2,71.23392270482027,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,17,1.0,full,1,69.43634636745718,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,1.0,full,1,72.93643334161058,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,17,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,0.0,traditional_ppo,3,56.29809828748116,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,17,0.0,a2c_pointer,2,68.46016656870826,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,0.0,a2c_pointer,2,71.52707854011881,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,18,1.0,full,1,69.62740181769384,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,1.0,full,1,73.19445830336224,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,18,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,0.0,traditional_ppo,3,61.1259219234399,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,18,0.0,a2c_pointer,2,68.68462346412394,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,0.0,a2c_pointer,2,71.82023437541733,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,19,1.0,full,1,73.1927931559504,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,1.0,full,1,76.46193216160326,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,19,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,0.0,traditional_ppo,3,54.28507803733951,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,19,0.0,a2c_pointer,2,71.68996412303555,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,0.0,a2c_pointer,2,74.55319542486288,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,20,1.0,full,1,73.39418454219191,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,1.0,full,1,76.71995712335497,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,20,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,0.0,traditional_ppo,3,59.11290167329828,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,20,0.0,a2c_pointer,2,71.92501039280133,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,0.0,a2c_pointer,2,74.84635126016143,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,21,1.0,full,1,70.86559455970107,0.2,0.1,0.15,0.15,0.1,0.1,0.2
