aggregation,grid_id,is_first,model,rank,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,17,1.0,a2c_pointer,1,core_learning_training_corrected_v6,0.6439388860722024,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6817671492007916,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,17,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5361591998079109,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6154615277700537,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,18,0.0,full,2,core_learning_training_corrected_v6,0.6673326032871588,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,0.0,full,2,core_learning_training_corrected_v6,0.7076817490475635,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,18,1.0,a2c_pointer,1,core_learning_training_corrected_v6,0.6680451337164449,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,1.0,a2c_pointer,1,core_learning_training_corrected_v6,0.7077178346730254,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,18,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5725238127086648,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6517979264208593,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,19,1.0,full,1,core_learning_training_corrected_v6,0.6622028717951297,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,1.0,full,1,core_learning_training_corrected_v6,0.7020039722259671,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,19,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6600680896669207,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6995977141311297,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,19,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5238833540143687,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6127203325675415,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,20,1.0,full,1,core_learning_training_corrected_v6,0.686367383670515,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,1.0,full,1,core_learning_training_corrected_v6,0.727532795494734,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,20,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6847781439527068,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.7255483996033637,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,20,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5594153664851169,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6490567312183475,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,21,1.0,full,1,core_learning_training_corrected_v6,0.6400796985376865,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,1.0,full,1,core_learning_training_corrected_v6,0.6773993787693485,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,21,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6385641432473114,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6754476439983418,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,21,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.512247044324933,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5947278606090329,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,22,1.0,full,1,core_learning_training_corrected_v6,0.6634369114633535,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,1.0,full,1,core_learning_training_corrected_v6,0.7029282020381153,0.2,0.1,0.15,0.15,0.1,0.15,0.15
