environment_interactions,episodes_seen,median,model,q25,q75,record_type,safe_weighted_coverage,training_seed
19016,2352.0,,a2c_pointer,,,seed,0.4985933956916099,46
20379,2500.0,,a2c_pointer,,,seed,0.4960848922902492,46
21937,2660.0,,a2c_pointer,,,seed,0.49236229213907773,46
23463,2820.0,,a2c_pointer,,,seed,0.4980040627362055,46
24915,2980.0,,a2c_pointer,,,seed,0.49653840702947843,46
25104,3000.0,,a2c_pointer,,,seed,0.49604473733938015,46
,16.0,0.28245346749811023,a2c_pointer,0.24593962585034018,0.2839557350718065,summary,,
,160.0,0.4224289021164022,a2c_pointer,0.4157159391534393,0.4258125472411187,summary,,
,250.0,0.4385251322751323,a2c_pointer,0.43578632842025694,0.44657501889644746,summary,,
,314.0,0.4484457671957672,a2c_pointer,0.44306854686318986,0.4493835034013606,summary,,
,474.0,0.4557350718065003,a2c_pointer,0.45270101095993953,0.464905753968254,summary,,
,500.0,0.4574097694633409,a2c_pointer,0.45451034580498867,0.4634318310657597,summary,,
,628.0,0.46695483749055167,a2c_pointer,0.4608666383219955,0.4747307256235826,summary,,
,788.0,0.4793650793650793,a2c_pointer,0.474284297052154,0.4876381802721088,summary,,
,948.0,0.492594954648526,a2c_pointer,0.48398644179894185,0.49506802721088417,summary,,
,1000.0,0.48902352607709737,a2c_pointer,0.4879015495086924,0.49431216931216926,summary,,
,1096.0,0.49654549319727875,a2c_pointer,0.48891959561602427,0.4966695011337868,summary,,
,1256.0,0.495357379062736,a2c_pointer,0.4858335695389267,0.4958286092214663,summary,,
,1416.0,0.4945554610733182,a2c_pointer,0.4943239795918367,0.4955628779289494,summary,,
,1500.0,0.49836663832199535,a2c_pointer,0.49771471088435365,0.49982520786092216,summary,,
,1564.0,0.4989677815570672,a2c_pointer,0.4971005763416477,0.4995854591836733,summary,,
,1724.0,0.4963990457294027,a2c_pointer,0.4946180555555555,0.49663052721088413,summary,,
,1884.0,0.4984280517762659,a2c_pointer,0.49499834656084646,0.50021022297808,summary,,
,2000.0,0.4980808295540437,a2c_pointer,0.4977796674225245,0.4991803665910807,summary,,
,2032.0,0.4996468726379439,a2c_pointer,0.49827688019652294,0.4999279572940285,summary,,
,2192.0,0.4984280517762659,a2c_pointer,0.49783753779289475,0.5012011054421766,summary,,
,2352.0,0.5002137660619803,a2c_pointer,0.4985933956916099,0.5009507275132276,summary,,
,2500.0,0.497987528344671,a2c_pointer,0.4971702569916855,0.49989016439909273,summary,,
,2660.0,0.4986748866213151,a2c_pointer,0.4973403250188963,0.49878590325018884,summary,,
,2820.0,0.4980040627362055,a2c_pointer,0.49387282690854123,0.5011467781557065,summary,,
,2980.0,0.5014054232804231,a2c_pointer,0.49653840702947843,0.5014207766439908,summary,,
,3000.0,0.4980536659108087,a2c_pointer,0.49604473733938015,0.5014054232804231,summary,,
66,16.0,,traditional_ppo,,,seed,0.23419548374905516,42
765,160.0,,traditional_ppo,,,seed,0.2587077191987906,42
1237,250.0,,traditional_ppo,,,seed,0.25124716553287985,42
1592,314.0,,traditional_ppo,,,seed,0.262000425170068,42
2536,474.0,,traditional_ppo,,,seed,0.2652128212396069,42
2705,500.0,,traditional_ppo,,,seed,0.26188468442932716,42
3482,628.0,,traditional_ppo,,,seed,0.26082766439909294,42
4468,788.0,,traditional_ppo,,,seed,0.2661954365079365,42
5464,948.0,,traditional_ppo,,,seed,0.26845356198034775,42
5777,1000.0,,traditional_ppo,,,seed,0.27138014928193505,42
6328,1096.0,,traditional_ppo,,,seed,0.2652222694633408,42
7294,1256.0,,traditional_ppo,,,seed,0.25950255102040826,42
8256,1416.0,,traditional_ppo,,,seed,0.2729119425547997,42
8762,1500.0,,traditional_ppo,,,seed,0.2593206727135299,42
9106,1564.0,,traditional_ppo,,,seed,0.25392691798941797,42
10060,1724.0,,traditional_ppo,,,seed,0.27145455404383967,42
11039,1884.0,,traditional_ppo,,,seed,0.2760192271352986,42
11726,2000.0,,traditional_ppo,,,seed,0.278826530612245,42
11921,2032.0,,traditional_ppo,,,seed,0.2821593915343915,42
12887,2192.0,,traditional_ppo,,,seed,0.28108347505668935,42
13825,2352.0,,traditional_ppo,,,seed,0.27816397392290254,42
14738,2500.0,,traditional_ppo,,,seed,0.2811378023431595,42
15697,2660.0,,traditional_ppo,,,seed,0.2743220899470899,42
16679,2820.0,,traditional_ppo,,,seed,0.2768057917611489,42
17630,2980.0,,traditional_ppo,,,seed,0.2790934429327286,42
17753,3000.0,,traditional_ppo,,,seed,0.2790780895691609,42
69,16.0,,traditional_ppo,,,seed,0.2650864512471655,43
786,160.0,,traditional_ppo,,,seed,0.26686153628117926,43
1270,250.0,,traditional_ppo,,,seed,0.2706124811035525,43
1654,314.0,,traditional_ppo,,,seed,0.27479686318972035,43
2581,474.0,,traditional_ppo,,,seed,0.2599300831443689,43
2732,500.0,,traditional_ppo,,,seed,0.26095167233560085,43
3448,628.0,,traditional_ppo,,,seed,0.2571145124716553,43
4396,788.0,,traditional_ppo,,,seed,0.25419146825396827,43
5358,948.0,,traditional_ppo,,,seed,0.25099442554799706,43
5668,1000.0,,traditional_ppo,,,seed,0.2611949640967498,43
6232,1096.0,,traditional_ppo,,,seed,0.2626110166288737,43
7180,1256.0,,traditional_ppo,,,seed,0.2675170068027211,43
8123,1416.0,,traditional_ppo,,,seed,0.26013085789871504,43
8639,1500.0,,traditional_ppo,,,seed,0.25363992819349956,43
9037,1564.0,,traditional_ppo,,,seed,0.25897108843537403,43
