task_id,map_id,model,seed,task_hash,map_hash,vertical_exaggeration,element_type,element_id,sequence,raw_x_grid,raw_y_grid,raw_z_m,display_x_m,display_y_m,display_z_m,priority,visited,note
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,17,247.94186401367188,161.13386535644531,573.98370361328125,4414.0159606933594,541.74407958984375,600.97555541992188,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,18,240.44210815429688,166.01052856445312,573.98370361328125,4560.3158569335938,766.73675537109375,600.97555541992188,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,19,240.44210815429688,166.01052856445312,572.9652099609375,4560.3158569335938,766.73675537109375,599.44781494140625,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,20,240.44210815429688,166.01052856445312,695.2822265625,4560.3158569335938,766.73675537109375,782.92333984375,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,21,239.73080444335938,103.40394592285156,695.2822265625,2682.1183776855469,788.07586669921875,782.92333984375,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,22,239.73080444335938,103.40394592285156,543.31573486328125,2682.1183776855469,788.07586669921875,554.97360229492188,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_00,0,249.18484497070312,70.45758056640625,546.5035400390625,1693.7274169921875,504.45465087890625,559.75531005859375,2,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_01,1,240.44210815429688,166.01052856445312,554.95526123046875,4560.3158569335938,766.73675537109375,572.43289184570312,3,1,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_02,2,248.38969421386719,118.91461181640625,540.69073486328125,3147.4383544921875,528.30917358398438,551.03610229492188,2,1,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_03,3,226.55751037597656,43.651012420654297,558.69805908203125,889.53037261962891,1183.2746887207031,578.04708862304688,3,0,地面高程由冻结DSM回采样
