aggregation,grid_id,is_first,model,rank,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,24,0.0,traditional_ppo,3,core_learning_training_aware,0.5587269577638302,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,24,0.0,a2c_pointer,2,core_learning_training_aware,0.7072223149748738,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,0.0,a2c_pointer,2,core_learning_training_aware,0.743653500451935,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,25,1.0,full,1,core_learning_training_aware,0.7096958232786081,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,1.0,full,1,core_learning_training_aware,0.7488700415324081,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,25,0.0,traditional_ppo,3,core_learning_training_aware,0.5033759669300694,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,0.0,traditional_ppo,3,core_learning_training_aware,0.5990565704326652,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,25,0.0,a2c_pointer,2,core_learning_training_aware,0.7080882184042004,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,0.0,a2c_pointer,2,core_learning_training_aware,0.7448261237931292,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,26,1.0,full,1,core_learning_training_aware,0.710446958592374,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,1.0,full,1,core_learning_training_aware,0.7499021413794146,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,26,0.0,traditional_ppo,3,core_learning_training_aware,0.5481152855524404,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,0.0,traditional_ppo,3,core_learning_training_aware,0.6393861831015002,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,26,0.0,a2c_pointer,2,core_learning_training_aware,0.7089551820217211,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,0.0,a2c_pointer,2,core_learning_training_aware,0.7459987471343233,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,27,1.0,full,1,core_learning_training_aware,0.7111988889006163,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,1.0,full,1,core_learning_training_aware,0.7509342412264213,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,27,0.0,traditional_ppo,3,core_learning_training_aware,0.5968309692821906,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,0.0,traditional_ppo,3,core_learning_training_aware,0.6797157957703353,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,27,0.0,a2c_pointer,2,core_learning_training_aware,0.709823207125501,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,0.0,a2c_pointer,2,core_learning_training_aware,0.7471713704755174,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,28,1.0,full,1,core_learning_training_aware,0.7606871667924021,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,1.0,full,1,core_learning_training_aware,0.7993620825334937,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,28,0.0,traditional_ppo,3,core_learning_training_aware,0.48367496801022186,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,0.0,traditional_ppo,3,core_learning_training_aware,0.5950084752785035,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,28,0.0,a2c_pointer,2,core_learning_training_aware,0.7569445531738679,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,0.0,a2c_pointer,2,core_learning_training_aware,0.7934032730571402,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,29,1.0,full,1,core_learning_training_aware,0.7357103368585968,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,1.0,full,1,core_learning_training_aware,0.7753462365397489,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,29,0.0,traditional_ppo,3,core_learning_training_aware,0.4731262177573474,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,0.0,traditional_ppo,3,core_learning_training_aware,0.5774231182829102,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,29,0.0,a2c_pointer,2,core_learning_training_aware,0.733291284820537,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,0.0,a2c_pointer,2,core_learning_training_aware,0.7706044673119077,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,30,1.0,full,1,core_learning_training_aware,0.73648900568627,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,1.0,full,1,core_learning_training_aware,0.7763783363867556,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,30,0.0,traditional_ppo,3,core_learning_training_aware,0.5151769829814724,0.2,0.1,0.2,0.05,0.1,0.2,0.15
