aggregation,grid_id,is_first,model,operational_floor,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,23,1.0,full,0.0,1,77.39179873731594,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,23,0.0,traditional_ppo,0.0,3,56.03359806652212,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,0.0,traditional_ppo,0.0,3,65.69715400970935,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,23,0.0,a2c_pointer,0.0,2,73.18234575869332,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,0.0,a2c_pointer,0.0,2,76.87975528795556,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,24,1.0,full,0.0,1,70.89454821187941,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,1.0,full,0.0,1,74.78379416854011,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,24,0.0,traditional_ppo,0.0,3,46.22884469047339,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,0.0,traditional_ppo,0.0,3,55.87269577638302,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,24,0.0,a2c_pointer,0.0,2,70.72223149748737,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,0.0,a2c_pointer,0.0,2,74.3653500451935,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,25,1.0,full,0.0,1,70.96958232786082,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,1.0,full,0.0,1,74.88700415324081,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,25,0.0,traditional_ppo,0.0,3,50.33759669300694,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,0.0,traditional_ppo,0.0,3,59.90565704326652,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,25,0.0,a2c_pointer,0.0,2,70.80882184042004,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,0.0,a2c_pointer,0.0,2,74.48261237931291,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,26,1.0,full,0.0,1,71.0446958592374,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,1.0,full,0.0,1,74.99021413794146,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,26,0.0,traditional_ppo,0.0,3,54.81152855524404,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,0.0,traditional_ppo,0.0,3,63.93861831015002,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,26,0.0,a2c_pointer,0.0,2,70.89551820217211,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,0.0,a2c_pointer,0.0,2,74.59987471343233,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,27,1.0,full,0.0,1,71.11988889006163,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,1.0,full,0.0,1,75.09342412264213,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,27,0.0,traditional_ppo,0.0,3,59.68309692821906,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,0.0,traditional_ppo,0.0,3,67.97157957703352,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,27,0.0,a2c_pointer,0.0,2,70.98232071255009,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,0.0,a2c_pointer,0.0,2,74.71713704755174,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,28,1.0,full,0.0,1,76.06871667924021,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,1.0,full,0.0,1,79.93620825334938,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,28,0.0,traditional_ppo,0.0,3,48.367496801022185,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,0.0,traditional_ppo,0.0,3,59.500847527850354,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,28,0.0,a2c_pointer,0.0,2,75.69445531738678,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,0.0,a2c_pointer,0.0,2,79.34032730571403,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,29,1.0,full,0.0,1,73.57103368585967,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,1.0,full,0.0,1,77.53462365397489,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,29,0.0,traditional_ppo,0.0,3,47.31262177573474,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,0.0,traditional_ppo,0.0,3,57.742311828291015,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,29,0.0,a2c_pointer,0.0,2,73.32912848205369,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,0.0,a2c_pointer,0.0,2,77.06044673119077,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,30,1.0,full,0.0,1,73.648900568627,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,1.0,full,0.0,1,77.63783363867556,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,30,0.0,traditional_ppo,0.0,3,51.51769829814724,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,0.0,traditional_ppo,0.0,3,61.77527309517452,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,30,0.0,a2c_pointer,0.0,2,73.41891063750562,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,0.0,a2c_pointer,0.0,2,77.17770906531017,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,31,1.0,full,0.0,1,71.15536101955917,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,1.0,full,0.0,1,75.1330390546004,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,31,0.0,traditional_ppo,0.0,3,46.280753136813594,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,0.0,traditional_ppo,0.0,3,55.98377612873169,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,31,0.0,a2c_pointer,0.0,2,71.0377142076141,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,0.0,a2c_pointer,0.0,2,74.78056615666752,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,32,1.0,full,0.0,1,71.23067117733721,0.2,0.1,0.2,0.05,0.15,0.15,0.15
arithmetic,32,1.0,full,0.0,1,75.23624903930106,0.2,0.1,0.2,0.05,0.15,0.15,0.15
geometric,32,0.0,traditional_ppo,0.0,3,50.394118686025145,0.2,0.1,0.2,0.05,0.15,0.15,0.15
arithmetic,32,0.0,traditional_ppo,0.0,3,60.01673739561518,0.2,0.1,0.2,0.05,0.15,0.15,0.15
geometric,32,0.0,a2c_pointer,0.0,2,71.12469081884572,0.2,0.1,0.2,0.05,0.15,0.15,0.15
arithmetic,32,0.0,a2c_pointer,0.0,2,74.89782849078692,0.2,0.1,0.2,0.05,0.15,0.15,0.15
geometric,33,1.0,full,0.0,1,71.30606104267046,0.2,0.1,0.2,0.05,0.15,0.2,0.1
arithmetic,33,1.0,full,0.0,1,75.33945902400173,0.2,0.1,0.2,0.05,0.15,0.2,0.1
geometric,33,0.0,traditional_ppo,0.0,3,54.87307414021129,0.2,0.1,0.2,0.05,0.15,0.2,0.1
arithmetic,33,0.0,traditional_ppo,0.0,3,64.04969866249868,0.2,0.1,0.2,0.05,0.15,0.2,0.1
geometric,33,0.0,a2c_pointer,0.0,2,71.21177392183297,0.2,0.1,0.2,0.05,0.15,0.2,0.1
arithmetic,33,0.0,a2c_pointer,0.0,2,75.01509082490631,0.2,0.1,0.2,0.05,0.15,0.2,0.1
geometric,34,1.0,full,0.0,1,75.81056319024788,0.2,0.1,0.2,0.1,0.05,0.15,0.2
arithmetic,34,1.0,full,0.0,1,79.61215127990673,0.2,0.1,0.2,0.1,0.05,0.15,0.2
geometric,34,0.0,traditional_ppo,0.0,3,48.26835586671988,0.2,0.1,0.2,0.1,0.05,0.15,0.2
arithmetic,34,0.0,traditional_ppo,0.0,3,59.302584977269525,0.2,0.1,0.2,0.1,0.05,0.15,0.2
geometric,34,0.0,a2c_pointer,0.0,2,75.43928308490028,0.2,0.1,0.2,0.1,0.05,0.15,0.2
arithmetic,34,0.0,a2c_pointer,0.0,2,79.02356475816916,0.2,0.1,0.2,0.1,0.05,0.15,0.2
geometric,35,1.0,full,0.0,1,75.89080036975614,0.2,0.1,0.2,0.1,0.05,0.2,0.15
arithmetic,35,1.0,full,0.0,1,79.71536126460741,0.2,0.1,0.2,0.1,0.05,0.2,0.15
geometric,35,0.0,traditional_ppo,0.0,3,52.558376635230616,0.2,0.1,0.2,0.1,0.05,0.2,0.15
arithmetic,35,0.0,traditional_ppo,0.0,3,63.33554624415303,0.2,0.1,0.2,0.1,0.05,0.2,0.15
geometric,35,0.0,a2c_pointer,0.0,2,75.53164885524717,0.2,0.1,0.2,0.1,0.05,0.2,0.15
arithmetic,35,0.0,a2c_pointer,0.0,2,79.14082709228857,0.2,0.1,0.2,0.1,0.05,0.2,0.15
geometric,36,1.0,full,0.0,1,73.32135655360487,0.2,0.1,0.2,0.1,0.1,0.1,0.2
arithmetic,36,1.0,full,0.0,1,77.21056668053225,0.2,0.1,0.2,0.1,0.1,0.1,0.2
geometric,36,0.0,traditional_ppo,0.0,3,47.21564306405085,0.2,0.1,0.2,0.1,0.1,0.1,0.2
arithmetic,36,0.0,traditional_ppo,0.0,3,57.544049277710194,0.2,0.1,0.2,0.1,0.1,0.1,0.2
geometric,36,0.0,a2c_pointer,0.0,2,73.08192996080669,0.2,0.1,0.2,0.1,0.1,0.1,0.2
arithmetic,36,0.0,a2c_pointer,0.0,2,76.74368418364591,0.2,0.1,0.2,0.1,0.1,0.1,0.2
geometric,37,1.0,full,0.0,1,73.39895918046857,0.2,0.1,0.2,0.1,0.1,0.15,0.15
arithmetic,37,1.0,full,0.0,1,77.31377666523291,0.2,0.1,0.2,0.1,0.1,0.15,0.15
geometric,37,0.0,traditional_ppo,0.0,3,51.412100260618146,0.2,0.1,0.2,0.1,0.1,0.15,0.15
arithmetic,37,0.0,traditional_ppo,0.0,3,61.57701054459369,0.2,0.1,0.2,0.1,0.1,0.15,0.15
geometric,37,0.0,a2c_pointer,0.0,2,73.17140945323068,0.2,0.1,0.2,0.1,0.1,0.15,0.15
arithmetic,37,0.0,a2c_pointer,0.0,2,76.86094651776531,0.2,0.1,0.2,0.1,0.1,0.15,0.15
geometric,38,1.0,full,0.0,1,73.47664394121493,0.2,0.1,0.2,0.1,0.1,0.2,0.1
arithmetic,38,1.0,full,0.0,1,77.4169866499336,0.2,0.1,0.2,0.1,0.1,0.2,0.1
geometric,38,0.0,traditional_ppo,0.0,3,55.98153242606877,0.2,0.1,0.2,0.1,0.1,0.2,0.1
arithmetic,38,0.0,traditional_ppo,0.0,3,65.60997181147721,0.2,0.1,0.2,0.1,0.1,0.2,0.1
