environment_interactions,episodes_seen,median,model,q25,q75,record_type,safe_weighted_coverage,training_seed
7008.0,1000.0,,a2c_pointer,,,seed,0.4890235260770973,43.0
7914.0,1096.0,,a2c_pointer,,,seed,0.4966695011337868,43.0
9272.0,1256.0,,a2c_pointer,,,seed,0.4958286092214663,43.0
10694.0,1416.0,,a2c_pointer,,,seed,0.4926575491307634,43.0
11401.0,1500.0,,a2c_pointer,,,seed,0.4922678099017383,43.0
11971.0,1564.0,,a2c_pointer,,,seed,0.4927000661375661,43.0
13350.0,1724.0,,a2c_pointer,,,seed,0.4946180555555555,43.0
14840.0,1884.0,,a2c_pointer,,,seed,0.50021022297808,43.0
15848.0,2000.0,,a2c_pointer,,,seed,0.4980808295540437,43.0
16148.0,2032.0,,a2c_pointer,,,seed,0.4996468726379439,43.0
17677.0,2192.0,,a2c_pointer,,,seed,0.4978375377928947,43.0
19240.0,2352.0,,a2c_pointer,,,seed,0.5009507275132276,43.0
20582.0,2500.0,,a2c_pointer,,,seed,0.4998901643990927,43.0
22075.0,2660.0,,a2c_pointer,,,seed,0.4986748866213151,43.0
23617.0,2820.0,,a2c_pointer,,,seed,0.4938728269085412,43.0
24976.0,2980.0,,a2c_pointer,,,seed,0.4947361583522298,43.0
25165.0,3000.0,,a2c_pointer,,,seed,0.4947361583522298,43.0
76.0,16.0,,a2c_pointer,,,seed,0.2459396258503401,44.0
910.0,160.0,,a2c_pointer,,,seed,0.4129228080120938,44.0
1466.0,250.0,,a2c_pointer,,,seed,0.4357863284202569,44.0
1845.0,314.0,,a2c_pointer,,,seed,0.4430685468631898,44.0
2843.0,474.0,,a2c_pointer,,,seed,0.4557350718065003,44.0
3009.0,500.0,,a2c_pointer,,,seed,0.4574097694633409,44.0
3891.0,628.0,,a2c_pointer,,,seed,0.4747425359032501,44.0
5141.0,788.0,,a2c_pointer,,,seed,0.4943901171579742,44.0
6488.0,948.0,,a2c_pointer,,,seed,0.4950680272108841,44.0
6938.0,1000.0,,a2c_pointer,,,seed,0.4943121693121692,44.0
7785.0,1096.0,,a2c_pointer,,,seed,0.5003873771730912,44.0
9335.0,1256.0,,a2c_pointer,,,seed,0.4999090608465607,44.0
10883.0,1416.0,,a2c_pointer,,,seed,0.4943239795918367,44.0
11729.0,1500.0,,a2c_pointer,,,seed,0.5025628306878306,44.0
12296.0,1564.0,,a2c_pointer,,,seed,0.5048575680272106,44.0
13774.0,1724.0,,a2c_pointer,,,seed,0.4966305272108841,44.0
15253.0,1884.0,,a2c_pointer,,,seed,0.4984280517762659,44.0
16285.0,2000.0,,a2c_pointer,,,seed,0.4977796674225245,44.0
16591.0,2032.0,,a2c_pointer,,,seed,0.4982768801965229,44.0
18018.0,2192.0,,a2c_pointer,,,seed,0.5016569822373393,44.0
19502.0,2352.0,,a2c_pointer,,,seed,0.5010239512471655,44.0
20796.0,2500.0,,a2c_pointer,,,seed,0.4999740173847316,44.0
22320.0,2660.0,,a2c_pointer,,,seed,0.5020372732426301,44.0
23854.0,2820.0,,a2c_pointer,,,seed,0.5055945294784577,44.0
25356.0,2980.0,,a2c_pointer,,,seed,0.5036848072562357,44.0
25539.0,3000.0,,a2c_pointer,,,seed,0.503352938397581,44.0
70.0,16.0,,a2c_pointer,,,seed,0.0426646352985638,45.0
903.0,160.0,,a2c_pointer,,,seed,0.4224289021164022,45.0
1476.0,250.0,,a2c_pointer,,,seed,0.4385251322751323,45.0
1853.0,314.0,,a2c_pointer,,,seed,0.4493835034013606,45.0
2917.0,474.0,,a2c_pointer,,,seed,0.464905753968254,45.0
3102.0,500.0,,a2c_pointer,,,seed,0.4634318310657597,45.0
3990.0,628.0,,a2c_pointer,,,seed,0.4747307256235826,45.0
5215.0,788.0,,a2c_pointer,,,seed,0.4876381802721088,45.0
6565.0,948.0,,a2c_pointer,,,seed,0.4979686318972032,45.0
7004.0,1000.0,,a2c_pointer,,,seed,0.4976792800453513,45.0
7839.0,1096.0,,a2c_pointer,,,seed,0.4965454931972787,45.0
9234.0,1256.0,,a2c_pointer,,,seed,0.4849655139833712,45.0
10627.0,1416.0,,a2c_pointer,,,seed,0.4966695011337866,45.0
11339.0,1500.0,,a2c_pointer,,,seed,0.4977147108843536,45.0
11867.0,1564.0,,a2c_pointer,,,seed,0.4989677815570672,45.0
13264.0,1724.0,,a2c_pointer,,,seed,0.4983005007558577,45.0
14701.0,1884.0,,a2c_pointer,,,seed,0.5004369803476943,45.0
15720.0,2000.0,,a2c_pointer,,,seed,0.4956703514739228,45.0
16009.0,2032.0,,a2c_pointer,,,seed,0.4953231292517006,45.0
17490.0,2192.0,,a2c_pointer,,,seed,0.4984280517762659,45.0
18932.0,2352.0,,a2c_pointer,,,seed,0.4976485733182161,45.0
20290.0,2500.0,,a2c_pointer,,,seed,0.497987528344671,45.0
21784.0,2660.0,,a2c_pointer,,,seed,0.4987859032501888,45.0
23107.0,2820.0,,a2c_pointer,,,seed,0.4877432917611487,45.0
24485.0,2980.0,,a2c_pointer,,,seed,0.5014054232804231,45.0
24665.0,3000.0,,a2c_pointer,,,seed,0.5014054232804231,45.0
78.0,16.0,,a2c_pointer,,,seed,0.3902636054421768,46.0
902.0,160.0,,a2c_pointer,,,seed,0.4359823790627363,46.0
1491.0,250.0,,a2c_pointer,,,seed,0.4465750188964474,46.0
1902.0,314.0,,a2c_pointer,,,seed,0.4484457671957672,46.0
2953.0,474.0,,a2c_pointer,,,seed,0.4527010109599395,46.0
3121.0,500.0,,a2c_pointer,,,seed,0.4545103458049886,46.0
4055.0,628.0,,a2c_pointer,,,seed,0.4608666383219955,46.0
5314.0,788.0,,a2c_pointer,,,seed,0.4793650793650793,46.0
6651.0,948.0,,a2c_pointer,,,seed,0.4839864417989418,46.0
7043.0,1000.0,,a2c_pointer,,,seed,0.4879015495086924,46.0
7867.0,1096.0,,a2c_pointer,,,seed,0.4889195956160242,46.0
9297.0,1256.0,,a2c_pointer,,,seed,0.495357379062736,46.0
10699.0,1416.0,,a2c_pointer,,,seed,0.4945554610733182,46.0
11456.0,1500.0,,a2c_pointer,,,seed,0.4983666383219953,46.0
12001.0,1564.0,,a2c_pointer,,,seed,0.4995854591836733,46.0
13394.0,1724.0,,a2c_pointer,,,seed,0.487870842781557,46.0
14751.0,1884.0,,a2c_pointer,,,seed,0.491183626228269,46.0
15761.0,2000.0,,a2c_pointer,,,seed,0.5011668556311412,46.0
16069.0,2032.0,,a2c_pointer,,,seed,0.5014136904761904,46.0
17505.0,2192.0,,a2c_pointer,,,seed,0.495303051776266,46.0
19016.0,2352.0,,a2c_pointer,,,seed,0.4985933956916099,46.0
20379.0,2500.0,,a2c_pointer,,,seed,0.4960848922902492,46.0
21937.0,2660.0,,a2c_pointer,,,seed,0.4923622921390777,46.0
23463.0,2820.0,,a2c_pointer,,,seed,0.4980040627362055,46.0
24915.0,2980.0,,a2c_pointer,,,seed,0.4965384070294784,46.0
25104.0,3000.0,,a2c_pointer,,,seed,0.4960447373393801,46.0
,16.0,0.2824534674981102,a2c_pointer,0.2459396258503401,0.2839557350718065,summary,,
,160.0,0.4224289021164022,a2c_pointer,0.4157159391534393,0.4258125472411187,summary,,
,250.0,0.4385251322751323,a2c_pointer,0.4357863284202569,0.4465750188964474,summary,,
,314.0,0.4484457671957672,a2c_pointer,0.4430685468631898,0.4493835034013606,summary,,
,474.0,0.4557350718065003,a2c_pointer,0.4527010109599395,0.464905753968254,summary,,
,500.0,0.4574097694633409,a2c_pointer,0.4545103458049886,0.4634318310657597,summary,,
,628.0,0.4669548374905516,a2c_pointer,0.4608666383219955,0.4747307256235826,summary,,
,788.0,0.4793650793650793,a2c_pointer,0.474284297052154,0.4876381802721088,summary,,
,948.0,0.492594954648526,a2c_pointer,0.4839864417989418,0.4950680272108841,summary,,
,1000.0,0.4890235260770973,a2c_pointer,0.4879015495086924,0.4943121693121692,summary,,
,1096.0,0.4965454931972787,a2c_pointer,0.4889195956160242,0.4966695011337868,summary,,
,1256.0,0.495357379062736,a2c_pointer,0.4858335695389267,0.4958286092214663,summary,,
,1416.0,0.4945554610733182,a2c_pointer,0.4943239795918367,0.4955628779289494,summary,,
,1500.0,0.4983666383219953,a2c_pointer,0.4977147108843536,0.4998252078609221,summary,,
,1564.0,0.4989677815570672,a2c_pointer,0.4971005763416477,0.4995854591836733,summary,,
,1724.0,0.4963990457294027,a2c_pointer,0.4946180555555555,0.4966305272108841,summary,,
,1884.0,0.4984280517762659,a2c_pointer,0.4949983465608464,0.50021022297808,summary,,
,2000.0,0.4980808295540437,a2c_pointer,0.4977796674225245,0.4991803665910807,summary,,
,2032.0,0.4996468726379439,a2c_pointer,0.4982768801965229,0.4999279572940285,summary,,
,2192.0,0.4984280517762659,a2c_pointer,0.4978375377928947,0.5012011054421766,summary,,
,2352.0,0.5002137660619803,a2c_pointer,0.4985933956916099,0.5009507275132276,summary,,
,2500.0,0.497987528344671,a2c_pointer,0.4971702569916855,0.4998901643990927,summary,,
,2660.0,0.4986748866213151,a2c_pointer,0.4973403250188963,0.4987859032501888,summary,,
,2820.0,0.4980040627362055,a2c_pointer,0.4938728269085412,0.5011467781557065,summary,,
,2980.0,0.5014054232804231,a2c_pointer,0.4965384070294784,0.5014207766439908,summary,,
,3000.0,0.4980536659108087,a2c_pointer,0.4960447373393801,0.5014054232804231,summary,,
66.0,16.0,,traditional_ppo,,,seed,0.2341954837490551,42.0
765.0,160.0,,traditional_ppo,,,seed,0.2587077191987906,42.0
1237.0,250.0,,traditional_ppo,,,seed,0.2512471655328798,42.0
1592.0,314.0,,traditional_ppo,,,seed,0.262000425170068,42.0
2536.0,474.0,,traditional_ppo,,,seed,0.2652128212396069,42.0
2705.0,500.0,,traditional_ppo,,,seed,0.2618846844293271,42.0
3482.0,628.0,,traditional_ppo,,,seed,0.2608276643990929,42.0
4468.0,788.0,,traditional_ppo,,,seed,0.2661954365079365,42.0
5464.0,948.0,,traditional_ppo,,,seed,0.2684535619803477,42.0
5777.0,1000.0,,traditional_ppo,,,seed,0.271380149281935,42.0
